"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, spei
2008-01, -99.9
2008-02, -99.9
2008-03, -99.9
2008-04, -99.9
2008-05, -99.9
2008-06, 0.167993009810274
2008-07, 0.164902535569764
2008-08, 0.370478408219004
2008-09, 0.726948275250853
2008-10, 0.874594688581596
2008-11, 0.0138635640238404
2008-12, 0.0698611496113493
2009-01, 0.331981481966869
2009-02, 0.474066102425165
2009-03, 0.373814917365124
2009-04, -0.539693752250321
2009-05, -0.251438475886179
2009-06, -0.923238276592221
2009-07, -1.60049646996768
2009-08, -1.35212336249167
2009-09, 0.0238459093235439
2009-10, 0.326114507661822
2009-11, 1.17273318991686
2009-12, 1.54460491115767
2010-01, 1.7645311852061
2010-02, 1.56954284175598
2010-03, 1.39483483056132
2010-04, 1.40311675951084
2010-05, 0.610880098044448
2010-06, 0.851318307794567
2010-07, 0.534874060518414
2010-08, 0.249284798842113
2010-09, 0.535494965090121
2010-10, 0.0254379742845869
2010-11, -0.13560263705644
2010-12, -0.615446102838871
2011-01, -0.561962914601214
2011-02, -0.218287101884831
2011-03, -0.562369441647916
2011-04, 0.154950644402881
2011-05, 0.0204875743818296
2011-06, 0.068284674299005
2011-07, 0.460908746953252
2011-08, 0.402167892777629
2011-09, -0.398366665049619
2011-10, -0.862189005821084
2011-11, -0.864342302684014
2011-12, -1.08811671271424
2012-01, -1.14675535603687
2012-02, -1.21279952060184
2012-03, -0.612004316666295
2012-04, -0.603117345987205
2012-05, -0.579563938559975
2012-06, -1.07677028799409
2012-07, -1.29895040823989
2012-08, -1.82104430280219
2012-09, -1.73026965825792
2012-10, -1.33830680666399
2012-11, -1.14668584873007
2012-12, -0.0800920694177149
2013-01, -0.1609178967249
2013-02, -0.147122799327401
2013-03, -0.836413769160393
2013-04, -0.686550753015692
2013-05, -0.526541134681941
2013-06, -1.47259461843346
2013-07, -1.39210490378833
2013-08, -0.630747996204214
2013-09, -0.489167921789771
2013-10, -0.432079160925308
2013-11, 0.39971845368554
2013-12, 0.292408257515286
2014-01, 0.135128006793249
2014-02, -0.156339618977161
2014-03, 0.108977898807118
2014-04, 0.0332387136408319
2014-05, -0.544060793088591
2014-06, 0.307107683644678
2014-07, 1.66442035721944
2014-08, 1.61166084955756
2014-09, 1.0384748549853
2014-10, 0.96660599787179
2014-11, 0.963084717317713
2014-12, 0.902512299290684
2015-01, 0.650762234346304
2015-02, 0.747473340622972
2015-03, 0.615383512256452
2015-04, 0.211703933538205
2015-05, 0.31641633720212
2015-06, 0.160953172332291
2015-07, 0.916487955363826
2015-08, 0.796393951396863
2015-09, 1.39993839229971
2015-10, 1.7749144668923
2015-11, 1.48821749432927
2015-12, 1.49070088635776
2016-01, 0.860731369118768
2016-02, 0.852283698383284
2016-03, 1.52944831919513
2016-04, 1.33914974785351
2016-05, 1.01114960512942
2016-06, 0.707122200877534
2016-07, 1.00114860543529
2016-08, 1.52255946334505
2016-09, -1.22941304466391
2016-10, -1.31831785274607
2016-11, -0.904488766517033
2016-12, -0.212704615819795
2017-01, 0.153290500502765
2017-02, 0.0761215920958615
2017-03, 0.664403520311308
2017-04, 0.389032869257128
2017-05, 0.68441793778854
2017-06, 1.13335425526668
2017-07, -0.210896626113325
2017-08, -0.104259686855371
2017-09, -0.570829361119426
2017-10, 0.445540112204175
2017-11, 0.329338456493985
2017-12, 0.248937879871296
2018-01, 0.855555050162808
2018-02, 1.03389852547255
2018-03, 1.14980630189435
2018-04, 0.457536205497644
2018-05, 0.179678255933299
2018-06, 0.0872735173806585
2018-07, -0.147065996599427
2018-08, -0.340729006724098
2018-09, -0.122118594880974
2018-10, -0.437839885808529
2018-11, -0.0245692266361095
