"Description: ","Maximum annual number of consecutive dry days (when precipitation < 1.0 mm)"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, cdd, normalised (all years)
2008, -99.9, -99.9
2009, 15, 0.0988104558412416
2010, 13, -0.625799553661195
2011, 11, -1.35040956316363
2012, 17, 0.823420465343679
2013, -99.9, -99.9
2014, 10, -1.71271456791485
2015, 14, -0.263494548909977
2016, -99.9, -99.9
2017, 16, 0.46111546059246
2018, 13, -0.625799553661195
2019, 17, 0.823420465343679
2020, 18, 1.1857254700949
2021, -99.9, -99.9
2022, 18, 1.1857254700949
2023, -99.9, -99.9
2024, -99.9, -99.9
