"Description: ","Annual number of days with at least 1 consecutive days when TN < 10th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, csdi1, normalised (all years)
2008, -99.9, -99.9
2009, 39, 0.570965084774529
2010, 39, 0.570965084774529
2011, -99.9, -99.9
2012, 36, 0.268689451658602
2013, -99.9, -99.9
2014, 20, -1.34344725829301
2015, 14, -1.94799852452486
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, 36, 0.268689451658602
2019, 33, -0.0335861814573255
2020, 45, 1.17551635100638
2021, -99.9, -99.9
2022, 38, 0.470206540402553
2023, -99.9, -99.9
2024, -99.9, -99.9
