"Description: ","Annual number of days contributing to events where 6 or more consecutive days experience TN < 10th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, csdi, normalised (all years)
2008, -99.9, -99.9
2009, 0, -0.277350098112615
2010, 0, -0.277350098112615
2011, 7, 3.32820117735137
2012, 0, -0.277350098112615
2013, -99.9, -99.9
2014, 0, -0.277350098112615
2015, 0, -0.277350098112615
2016, -99.9, -99.9
2017, 0, -0.277350098112615
2018, 0, -0.277350098112615
2019, 0, -0.277350098112615
2020, 0, -0.277350098112615
2021, 0, -0.277350098112615
2022, 0, -0.277350098112615
2023, 0, -0.277350098112615
2024, -99.9, -99.9
