"Description: ","Maximum annual number of consecutive wet days (when precipitation >= 1.0 mm)"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, cwd, normalised (all years)
2008, -99.9, -99.9
2009, 7, 0.215228027096715
2010, 6, -0.376649047419252
2011, 7, 0.215228027096715
2012, 5, -0.968526121935219
2013, -99.9, -99.9
2014, 9, 1.39898217612865
2015, 10, 1.99085925064462
2016, -99.9, -99.9
2017, 7, 0.215228027096715
2018, 6, -0.376649047419252
2019, 6, -0.376649047419252
2020, 6, -0.376649047419252
2021, -99.9, -99.9
2022, 4, -1.56040319645119
2023, -99.9, -99.9
2024, -99.9, -99.9
