"Description: ","Heatwave definitions and aspects"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, CWM, CWA, CWN, CWD, CWF
2008, -99.9, -99.9, -99.9, -99.9, -99.9
2009, -5.7368837962963, -37.0732222222222, 4, 10, 22
2010, -15.0465777777778, -37.4305555555556, 2, 8, 13
2011, -10.2767868945869, -30.7416666666667, 3, 13, 22
2012, -14.0849382716049, -46.4044444444444, 3, 6, 15
2013, -99.9, -99.9, -99.9, -99.9, -99.9
2014, -7.37394444444444, -13.7, 1, 3, 3
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, -14.8747111111111, -25.2341666666667, 1, 5, 5
2019, -25.0914880952381, -48.0606944444445, 1, 7, 7
2020, -7.59958564814815, -22.2031666666667, 3, 4, 10
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -13.2113518518518, -17.1704166666667, 1, 3, 3
2023, -3.81045138888889, -7.69197222222223, 2, 4, 7
2024, -99.9, -99.9, -99.9, -99.9, -99.9
