"Description: ","Heatwave definitions and aspects"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, -99.9, -99.9, -99.9
2009, 9.92335173611112, 16.8095666666666, 2, 5, 9
2010, -99.9, -99.9, 0, -99.9, 0
2011, 4.27489074074074, 7.85000833333333, 1, 6, 6
2012, 6.19867870370371, 9.5278138888889, 2, 3, 6
2013, -99.9, -99.9, -99.9, -99.9, -99.9
2014, 2.29221527777777, 6.18555555555553, 2, 3, 6
2015, 3.3560638888889, 5.72750000000001, 1, 3, 3
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 5.0660951388889, 11.427, 3, 4, 11
2019, 3.16311886574075, 9.42074999999999, 4, 6, 16
2020, -99.9, -99.9, 0, -99.9, 0
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, 1.49682857142857, 2.50138055555555, 1, 7, 7
2023, 4.71286734567902, 12.7916111111111, 3, 5, 11
2024, -99.9, -99.9, -99.9, -99.9, -99.9
