"Description: ","Annual sum of 18 - TM"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, hddheat18, normalised (all years)
2008, -99.9, -99.9
2009, 472.5, 1.48195100815918
2010, 368.35, 0.392391404654655
2011, 455.45, 1.3035833534328
2012, 358.3, 0.28725387210333
2013, -99.9, -99.9
2014, 287.7, -0.451324217262196
2015, 221.3, -1.14596423332269
2016, -99.9, -99.9
2017, 149, -1.90232678093073
2018, 381.9, 0.534143998293505
2019, 280.3, -0.528738917847251
2020, 369.5, 0.404422067583413
2021, -99.9, -99.9
2022, 378.2, 0.495436648000977
2023, 247.6, -0.870828202864994
2024, -99.9, -99.9
