"Description: ","Annual sum of daily precipitation >= 1.0 mm"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, prcptot, normalised (all years)
2008, -99.9, -99.9
2009, 1720.2, 0.92339849589116
2010, 1464.2, -0.343305598238568
2011, 1273.2, -1.28838560596817
2012, 1383.4, -0.743109077948263
2013, -99.9, -99.9
2014, 1771.8, 1.17871853986418
2015, 1838.2, 1.50726991427908
2016, -99.9, -99.9
2017, 1749.6, 1.06887154420137
2018, 1434, -0.492737096842934
2019, 1527, -0.0325672501473691
2020, 1416, -0.581802228461431
2021, -99.9, -99.9
2022, 1291.8, -1.19635163662906
2023, -99.9, -99.9
2024, -99.9, -99.9
