"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, prcptot, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 70, -0.777650911091907
2008-03, 72.8, -0.741737312989464
2008-04, 118.4, -0.156858715321118
2008-05, -99.9, -99.9
2008-06, 127.2, -0.0439874069991567
2008-07, 140.4, 0.125319555483786
2008-08, 122.6, -0.102988318167455
2008-09, 157.4, 0.343366401105757
2008-10, 222.2, 1.17450967147656
2008-11, 20.4, -1.4138346489066
2008-12, 119.4, -0.144032430284532
2009-01, 168, 0.479325022493574
2009-02, 110.6, -0.256903738606493
2009-03, 69.4, -0.785346682113858
2009-04, 29.2, -1.30096334058464
2009-05, 105.4, -0.323600420796743
2009-06, 55.6, -0.962349415618753
2009-07, 57.2, -0.941827359560214
2009-08, 268.4, 1.76708404016686
2009-09, 298.8, 2.15700310527909
2009-10, 119.2, -0.146597687291849
2009-11, 291, 2.05695808199372
2009-12, 147.4, 0.215103550739891
2010-01, 180.8, 0.643501470961882
2010-02, 113.8, -0.215859626489416
2010-03, 105, -0.328730934811378
2010-04, 73.4, -0.734041541967512
2010-05, 121.2, -0.120945117218676
2010-06, 204.8, 0.951332311839959
2010-07, 171.4, 0.522934391617968
2010-08, 96, -0.444167500140657
2010-09, 181.6, 0.653762498991151
2010-10, 55.6, -0.962349415618753
2010-11, 70.4, -0.772520397077272
2010-12, 90.2, -0.518559953352859
2011-01, 131, 0.0047524761398721
2011-02, 119.6, -0.141467173277214
2011-03, 78.2, -0.672475373791897
2011-04, 172.4, 0.535760676654555
2011-05, 47.4, -1.06752495291876
2011-06, 109.2, -0.274860537657714
2011-07, 229.6, 1.2694241807473
2011-08, 146, 0.19714675168867
2011-09, 51.2, -1.01878506977973
2011-10, 122.8, -0.100423061160138
2011-11, 14.8, -1.48566184511148
2011-12, 51, -1.02135032678705
2012-01, 164.4, 0.433150396361862
2012-02, 135.4, 0.0611881303008529
2012-03, 118.8, -0.151728201306484
2012-04, 76.2, -0.69812794386507
2012-05, 35.2, -1.22400563036512
2012-06, 30.8, -1.2804412845261
2012-07, 143.6, 0.166363667600862
2012-08, 90.8, -0.510864182330907
2012-09, 247, 1.49260154038391
2012-10, 120.6, -0.128640888240628
