"Description: ","Annual number of days when precipitation >= 10 mm"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, r10mm, normalised (all years)
2008, -99.9, -99.9
2009, 52, 0.629983523723298
2010, 52, 0.629983523723298
2011, 39, -1.67995606326213
2012, 43, -0.969205421112765
2013, -99.9, -99.9
2014, 57, 1.51842182641
2015, 57, 1.51842182641
2016, -99.9, -99.9
2017, 45, -0.613830100038084
2018, 47, -0.258454778963404
2019, 48, -0.0807671184260635
2020, 45, -0.613830100038084
2021, -99.9, -99.9
2022, 48, -0.0807671184260635
2023, -99.9, -99.9
2024, -99.9, -99.9
