"Description: ","Monthly number of days when precipitation >= 20 mm"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, r20mm, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 1, -0.714026533101998
2008-03, 2, -0.129263424096051
2008-04, 3, 0.455499684909895
2008-05, -99.9, -99.9
2008-06, 2, -0.129263424096051
2008-07, 3, 0.455499684909895
2008-08, 3, 0.455499684909895
2008-09, 2, -0.129263424096051
2008-10, 3, 0.455499684909895
2008-11, 0, -1.29878964210794
2008-12, 2, -0.129263424096051
2009-01, 2, -0.129263424096051
2009-02, 1, -0.714026533101998
2009-03, 1, -0.714026533101998
2009-04, 1, -0.714026533101998
2009-05, 2, -0.129263424096051
2009-06, 0, -1.29878964210794
2009-07, 0, -1.29878964210794
2009-08, 5, 1.62502590292179
2009-09, 8, 3.37931522993963
2009-10, 3, 0.455499684909895
2009-11, 5, 1.62502590292179
2009-12, 2, -0.129263424096051
2010-01, 5, 1.62502590292179
2010-02, 2, -0.129263424096051
2010-03, 2, -0.129263424096051
2010-04, 1, -0.714026533101998
2010-05, 1, -0.714026533101998
2010-06, 3, 0.455499684909895
2010-07, 4, 1.04026279391584
2010-08, 3, 0.455499684909895
2010-09, 3, 0.455499684909895
2010-10, 1, -0.714026533101998
2010-11, 1, -0.714026533101998
2010-12, 1, -0.714026533101998
2011-01, 2, -0.129263424096051
2011-02, 2, -0.129263424096051
2011-03, 0, -1.29878964210794
2011-04, 2, -0.129263424096051
2011-05, 1, -0.714026533101998
2011-06, 2, -0.129263424096051
2011-07, 4, 1.04026279391584
2011-08, 1, -0.714026533101998
2011-09, 0, -1.29878964210794
2011-10, 3, 0.455499684909895
2011-11, 0, -1.29878964210794
2011-12, 0, -1.29878964210794
2012-01, 4, 1.04026279391584
2012-02, 1, -0.714026533101998
2012-03, 3, 0.455499684909895
2012-04, 1, -0.714026533101998
2012-05, 1, -0.714026533101998
2012-06, 0, -1.29878964210794
2012-07, 3, 0.455499684909895
2012-08, 2, -0.129263424096051
2012-09, 4, 1.04026279391584
2012-10, 2, -0.129263424096051
2012-11, 0, -1.29878964210794
2012-12, 2, -0.129263424096051
2013-01, 2, -0.129263424096051
2013-02, 1, -0.714026533101998
2013-03, -99.9, -99.9
2013-04, 2, -0.129263424096051
2013-05, 1, -0.714026533101998
2013-06, 1, -0.714026533101998
2013-07, 3, 0.455499684909895
2013-08, 5, 1.62502590292179
2013-09, 3, 0.455499684909895
2013-10, 2, -0.129263424096051
2013-11, 3, 0.455499684909895
2013-12, 2, -0.129263424096051
2014-01, 0, -1.29878964210794
2014-02, 4, 1.04026279391584
2014-03, 2, -0.129263424096051
2014-04, 1, -0.714026533101998
2014-05, 1, -0.714026533101998
2014-06, 6, 2.20978901192773
2014-07, 4, 1.04026279391584
2014-08, 4, 1.04026279391584
2014-09, 4, 1.04026279391584
2014-10, 2, -0.129263424096051
2014-11, 1, -0.714026533101998
2014-12, 3, 0.455499684909895
2015-01, 3, 0.455499684909895
2015-02, 2, -0.129263424096051
2015-03, 1, -0.714026533101998
2015-04, 1, -0.714026533101998
2015-05, 2, -0.129263424096051
2015-06, 3, 0.455499684909895
2015-07, 6, 2.20978901192773
2015-08, 2, -0.129263424096051
2015-09, 5, 1.62502590292179
2015-10, 5, 1.62502590292179
2015-11, 2, -0.129263424096051
2015-12, 1, -0.714026533101998
2016-01, 2, -0.129263424096051
2016-02, -99.9, -99.9
2016-03, 5, 1.62502590292179
2016-04, 3, 0.455499684909895
2016-05, 1, -0.714026533101998
2016-06, -99.9, -99.9
2016-07, 3, 0.455499684909895
2016-08, 1, -0.714026533101998
2016-09, 3, 0.455499684909895
2016-10, 3, 0.455499684909895
2016-11, 2, -0.129263424096051
2016-12, 2, -0.129263424096051
2017-01, 4, 1.04026279391584
2017-02, 0, -1.29878964210794
2017-03, 2, -0.129263424096051
2017-04, 2, -0.129263424096051
2017-05, 4, 1.04026279391584
2017-06, 3, 0.455499684909895
2017-07, 0, -1.29878964210794
2017-08, 3, 0.455499684909895
2017-09, 3, 0.455499684909895
2017-10, 5, 1.62502590292179
2017-11, 2, -0.129263424096051
2017-12, 3, 0.455499684909895
2018-01, 3, 0.455499684909895
2018-02, 3, 0.455499684909895
2018-03, 2, -0.129263424096051
2018-04, 3, 0.455499684909895
2018-05, 2, -0.129263424096051
2018-06, 2, -0.129263424096051
2018-07, 2, -0.129263424096051
2018-08, 1, -0.714026533101998
2018-09, 3, 0.455499684909895
2018-10, 2, -0.129263424096051
2018-11, 2, -0.129263424096051
2018-12, 0, -1.29878964210794
2019-01, 1, -0.714026533101998
2019-02, 2, -0.129263424096051
2019-03, 1, -0.714026533101998
2019-04, 4, 1.04026279391584
2019-05, 4, 1.04026279391584
2019-06, 0, -1.29878964210794
2019-07, 2, -0.129263424096051
2019-08, 1, -0.714026533101998
2019-09, 2, -0.129263424096051
2019-10, 5, 1.62502590292179
2019-11, 1, -0.714026533101998
2019-12, 0, -1.29878964210794
2020-01, 0, -1.29878964210794
2020-02, 2, -0.129263424096051
2020-03, 0, -1.29878964210794
2020-04, 0, -1.29878964210794
2020-05, 2, -0.129263424096051
2020-06, 4, 1.04026279391584
2020-07, 3, 0.455499684909895
2020-08, 1, -0.714026533101998
2020-09, 3, 0.455499684909895
2020-10, 3, 0.455499684909895
2020-11, 0, -1.29878964210794
2020-12, 2, -0.129263424096051
2021-01, -99.9, -99.9
2021-02, 0, -1.29878964210794
2021-03, 0, -1.29878964210794
2021-04, 0, -1.29878964210794
2021-05, 2, -0.129263424096051
2021-06, 2, -0.129263424096051
2021-07, 1, -0.714026533101998
2021-08, 2, -0.129263424096051
2021-09, 3, 0.455499684909895
2021-10, 1, -0.714026533101998
2021-11, 1, -0.714026533101998
