"Description: ","Number of days when precipitation >= 30"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, r30mm, normalised (all years)
2008, -99.9, -99.9
2009, 19, 1.35216095880145
2010, 10, -0.878904623220942
2011, 10, -0.878904623220942
2012, 14, 0.112680079900121
2013, -99.9, -99.9
2014, 14, 0.112680079900121
2015, 18, 1.10426478302118
2016, -99.9, -99.9
2017, 20, 1.60005713458172
2018, 10, -0.878904623220942
2019, 14, 0.112680079900121
2020, 12, -0.383112271660411
2021, -99.9, -99.9
2022, 8, -1.37469697478147
2023, -99.9, -99.9
2024, -99.9, -99.9
