"Description: ","Number of days when precipitation >= 30"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, r30mm, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 1, -0.152284761604617
2008-03, 0, -0.97897346745825
2008-04, 1, -0.152284761604617
2008-05, -99.9, -99.9
2008-06, 0, -0.97897346745825
2008-07, 2, 0.674403944249017
2008-08, 0, -0.97897346745825
2008-09, 2, 0.674403944249017
2008-10, 1, -0.152284761604617
2008-11, 0, -0.97897346745825
2008-12, 0, -0.97897346745825
2009-01, 2, 0.674403944249017
2009-02, 1, -0.152284761604617
2009-03, 1, -0.152284761604617
2009-04, 0, -0.97897346745825
2009-05, 1, -0.152284761604617
2009-06, 0, -0.97897346745825
2009-07, 0, -0.97897346745825
2009-08, 2, 0.674403944249017
2009-09, 4, 2.32778135595628
2009-10, 2, 0.674403944249017
2009-11, 4, 2.32778135595628
2009-12, 2, 0.674403944249017
2010-01, 2, 0.674403944249017
2010-02, 1, -0.152284761604617
2010-03, 1, -0.152284761604617
2010-04, 0, -0.97897346745825
2010-05, 0, -0.97897346745825
2010-06, 2, 0.674403944249017
2010-07, 1, -0.152284761604617
2010-08, 0, -0.97897346745825
2010-09, 2, 0.674403944249017
2010-10, 0, -0.97897346745825
2010-11, 0, -0.97897346745825
2010-12, 1, -0.152284761604617
2011-01, 2, 0.674403944249017
2011-02, 1, -0.152284761604617
2011-03, 0, -0.97897346745825
2011-04, 2, 0.674403944249017
2011-05, 0, -0.97897346745825
2011-06, 1, -0.152284761604617
2011-07, 2, 0.674403944249017
2011-08, 1, -0.152284761604617
2011-09, 0, -0.97897346745825
2011-10, 1, -0.152284761604617
2011-11, 0, -0.97897346745825
2011-12, 0, -0.97897346745825
2012-01, 3, 1.50109265010265
2012-02, 1, -0.152284761604617
2012-03, 2, 0.674403944249017
2012-04, 0, -0.97897346745825
2012-05, 0, -0.97897346745825
2012-06, 0, -0.97897346745825
2012-07, 2, 0.674403944249017
2012-08, 1, -0.152284761604617
2012-09, 3, 1.50109265010265
2012-10, 0, -0.97897346745825
2012-11, 0, -0.97897346745825
2012-12, 2, 0.674403944249017
2013-01, 1, -0.152284761604617
2013-02, 0, -0.97897346745825
2013-03, -99.9, -99.9
2013-04, 1, -0.152284761604617
2013-05, 0, -0.97897346745825
2013-06, 1, -0.152284761604617
2013-07, 1, -0.152284761604617
2013-08, 3, 1.50109265010265
2013-09, 1, -0.152284761604617
2013-10, 1, -0.152284761604617
2013-11, 2, 0.674403944249017
2013-12, 2, 0.674403944249017
2014-01, 0, -0.97897346745825
2014-02, 2, 0.674403944249017
2014-03, 0, -0.97897346745825
2014-04, 1, -0.152284761604617
2014-05, 0, -0.97897346745825
2014-06, 2, 0.674403944249017
2014-07, 3, 1.50109265010265
2014-08, 1, -0.152284761604617
2014-09, 1, -0.152284761604617
2014-10, 1, -0.152284761604617
2014-11, 0, -0.97897346745825
2014-12, 3, 1.50109265010265
2015-01, 0, -0.97897346745825
2015-02, 0, -0.97897346745825
2015-03, 1, -0.152284761604617
2015-04, 0, -0.97897346745825
2015-05, 2, 0.674403944249017
2015-06, 2, 0.674403944249017
2015-07, 4, 2.32778135595628
2015-08, 1, -0.152284761604617
2015-09, 1, -0.152284761604617
2015-10, 5, 3.15447006180992
2015-11, 2, 0.674403944249017
2015-12, 0, -0.97897346745825
2016-01, 2, 0.674403944249017
2016-02, -99.9, -99.9
2016-03, 4, 2.32778135595628
2016-04, 2, 0.674403944249017
2016-05, 1, -0.152284761604617
2016-06, -99.9, -99.9
2016-07, 1, -0.152284761604617
2016-08, 0, -0.97897346745825
2016-09, 1, -0.152284761604617
2016-10, 2, 0.674403944249017
2016-11, 1, -0.152284761604617
2016-12, 1, -0.152284761604617
2017-01, 2, 0.674403944249017
2017-02, 0, -0.97897346745825
2017-03, 2, 0.674403944249017
2017-04, 1, -0.152284761604617
2017-05, 1, -0.152284761604617
2017-06, 3, 1.50109265010265
2017-07, 0, -0.97897346745825
2017-08, 1, -0.152284761604617
2017-09, 2, 0.674403944249017
2017-10, 5, 3.15447006180992
2017-11, 1, -0.152284761604617
2017-12, 2, 0.674403944249017
2018-01, 1, -0.152284761604617
2018-02, 0, -0.97897346745825
2018-03, 1, -0.152284761604617
2018-04, 0, -0.97897346745825
2018-05, 1, -0.152284761604617
2018-06, 1, -0.152284761604617
2018-07, 1, -0.152284761604617
2018-08, 1, -0.152284761604617
2018-09, 2, 0.674403944249017
2018-10, 1, -0.152284761604617
2018-11, 1, -0.152284761604617
2018-12, 0, -0.97897346745825
2019-01, 1, -0.152284761604617
2019-02, 1, -0.152284761604617
2019-03, 1, -0.152284761604617
2019-04, 3, 1.50109265010265
2019-05, 3, 1.50109265010265
2019-06, 0, -0.97897346745825
2019-07, 1, -0.152284761604617
2019-08, 0, -0.97897346745825
2019-09, 1, -0.152284761604617
2019-10, 2, 0.674403944249017
2019-11, 1, -0.152284761604617
2019-12, 0, -0.97897346745825
2020-01, 0, -0.97897346745825
2020-02, 2, 0.674403944249017
2020-03, 0, -0.97897346745825
2020-04, 0, -0.97897346745825
2020-05, 1, -0.152284761604617
2020-06, 2, 0.674403944249017
2020-07, 3, 1.50109265010265
2020-08, 1, -0.152284761604617
2020-09, 2, 0.674403944249017
2020-10, 0, -0.97897346745825
2020-11, 0, -0.97897346745825
2020-12, 1, -0.152284761604617
2021-01, -99.9, -99.9
2021-02, 0, -0.97897346745825
2021-03, 0, -0.97897346745825
2021-04, 0, -0.97897346745825
2021-05, 2, 0.674403944249017
2021-06, 1, -0.152284761604617
2021-07, 0, -0.97897346745825
2021-08, 2, 0.674403944249017
2021-09, 2, 0.674403944249017
2021-10, 0, -0.97897346745825
2021-11, 0, -0.97897346745825
2021-12, 1, -0.152284761604617
2022-01, 3, 1.50109265010265
2022-02, 0, -0.97897346745825
2022-03, 2, 0.674403944249017
2022-04, 2, 0.674403944249017
2022-05, 0, -0.97897346745825
2022-06, 0, -0.97897346745825
2022-07, 0, -0.97897346745825
2022-08, 0, -0.97897346745825
2022-09, 0, -0.97897346745825
2022-10, 0, -0.97897346745825
2022-11, 1, -0.152284761604617
2022-12, 0, -0.97897346745825
2023-01, 0, -0.97897346745825
2023-02, 1, -0.152284761604617
2023-03, 1, -0.152284761604617
2023-04, 0, -0.97897346745825
2023-05, -99.9, -99.9
2023-06, 2, 0.674403944249017
2023-07, 3, 1.50109265010265
2023-08, 1, -0.152284761604617
2023-09, 6, 3.98115876766355
2023-10, 1, -0.152284761604617
2023-11, 4, 2.32778135595628
2023-12, 1, -0.152284761604617
2024-01, 3, 1.50109265010265
2024-02, 0, -0.97897346745825
2024-03, 1, -0.152284761604617
2024-04, 3, 1.50109265010265
2024-05, 6, 3.98115876766355
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
