"Description: ","Annual sum of daily precipitation > 95th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, r95p, normalised (all years)
2008, -99.9, -99.9
2009, 330.4, 0.0962353137664235
2010, 141.8, -1.04854554598027
2011, 193.4, -0.735339329845965
2012, 409.6, 0.576970436205118
2013, -99.9, -99.9
2014, 366.2, 0.313537300929369
2015, 444.6, 0.7894165130404
2016, -99.9, -99.9
2017, 639.4, 1.97183067782648
2018, 51, -1.59969136817008
2019, 334.2, 0.119300887822826
2020, 373.4, 0.357240493878341
2021, -99.9, -99.9
2022, 176, -0.840955379472648
2023, -99.9, -99.9
2024, -99.9, -99.9
