"Description: ","Maximum monthly 1-day precipitation total"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, rx1day, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 43.2, 0.00155501166089127
2008-03, 24.6, -0.78350373256613
2008-04, 48, 0.204150816622703
2008-05, -99.9, -99.9
2008-06, 26.2, -0.71597179757886
2008-07, 48.6, 0.22947529224293
2008-08, 25.8, -0.732854781325677
2008-09, 55.8, 0.533368999685648
2008-10, 53.6, 0.440512589078151
2008-11, 8.2, -1.47570606618565
2008-12, 29.8, -0.564024943857501
2009-01, 47.8, 0.195709324749294
2009-02, 37.6, -0.234806760794556
2009-03, 41, -0.091301398946606
2009-04, 24.4, -0.791945224439539
2009-05, 36.4, -0.285455712035009
2009-06, 16, -1.14648788312271
2009-07, 16, -1.14648788312271
2009-08, 78.8, 1.50414056512766
2009-09, 48.8, 0.237916784116338
2009-10, 40, -0.13350885831365
2009-11, 73.4, 1.27622028454563
2009-12, 57, 0.584017950926101
2010-01, 39.2, -0.167274825807285
2010-02, 32.6, -0.445844057629777
2010-03, 37.2, -0.251689744541374
2010-04, 23.8, -0.817269700059766
2010-05, 25.4, -0.749737765072495
2010-06, 78.4, 1.48725758138085
2010-07, 38.2, -0.20948228517433
2010-08, 25.2, -0.758179256945904
2010-09, 43, -0.00688648021251769
2010-10, 29, -0.597790911351136
2010-11, 24.4, -0.791945224439539
2010-12, 41.4, -0.0744184151997884
2011-01, 42.8, -0.0153279720859266
2011-02, 45.6, 0.102852914141797
2011-03, 15.6, -1.16337086686953
2011-04, 76.4, 1.40284266264676
2011-05, 29.4, -0.580907927604319
2011-06, 43.6, 0.0184379954077089
2011-07, 61.6, 0.778172264014504
2011-08, 30.2, -0.547141960110683
2011-09, 17.8, -1.07051445626203
2011-10, 46.6, 0.145060373508841
2011-11, 4.4, -1.63609441178042
2011-12, 17.8, -1.07051445626203
2012-01, 41.6, -0.0659769233263795
2012-02, 76.6, 1.41128415452017
2012-03, 51.6, 0.356097670344062
2012-04, 28.4, -0.623115386971363
2012-05, 20.4, -0.960775061907716
2012-06, 11, -1.35752517995793
2012-07, 63.6, 0.862587182748592
2012-08, 31.2, -0.504934500743639
2012-09, 84.6, 1.74894382945652
2012-10, 26.2, -0.71597179757886
2012-11, 9.2, -1.43349860681861
2012-12, 58.4, 0.643108394039963
2013-01, 65.6, 0.94700210148268
2013-02, 21.6, -0.910126110667263
2013-03, -99.9, -99.9
2013-04, 51, 0.330773194723836
2013-05, 26.4, -0.707530305705451
2013-06, 35.6, -0.319221679528644
2013-07, 32.8, -0.437402565756368
2013-08, 72, 1.21712984143176
2013-09, 31.8, -0.479610025123412
2013-10, 40.4, -0.116625874566833
2013-11, 105.4, 2.62685898429104
2013-12, 31, -0.513375992617048
2014-01, 13, -1.27311026122384
2014-02, 43.2, 0.00155501166089127
2014-03, 25.2, -0.758179256945904
2014-04, 55.6, 0.524927507812239
2014-05, 21.2, -0.927009094414081
2014-06, 70, 1.13271492269767
2014-07, 95.8, 2.22166737436741
2014-08, 39.6, -0.150391842060468
2014-09, 38.2, -0.20948228517433
2014-10, 81.8, 1.6307629432288
2014-11, 23.6, -0.825711191933175
2014-12, 40.4, -0.116625874566833
2015-01, 27, -0.682205830085225
2015-02, 22, -0.893243126920445
2015-03, 30, -0.555583451984092
