"Description: ","Maximum 3-day precipitation total"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, rx3day, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 51.8, -0.297585879827674
2008-03, 38.4, -0.642036529964635
2008-04, 81.2, 0.458149128681777
2008-05, -99.9, -99.9
2008-06, 57.2, -0.158777408876959
2008-07, 114.4, 1.31156417230469
2008-08, 43, -0.523792276932544
2008-09, 75.2, 0.303917494292093
2008-10, 60.4, -0.0765205372024607
2008-11, 9.4, -1.38748942951477
2008-12, 53.4, -0.256457443990425
2009-01, 68.4, 0.129121641983785
2009-02, 48.2, -0.390124860461484
2009-03, 53.6, -0.251316389510769
2009-04, 24.8, -0.991628234581251
2009-05, 47.6, -0.405548023900453
2009-06, 36.4, -0.693447074761196
2009-07, 35.2, -0.724293401639133
2009-08, 167.8, 2.68422571837288
2009-09, 93.2, 0.766612397461144
2009-10, 42, -0.549497549330824
2009-11, 86.6, 0.596957599632492
2009-12, 72.2, 0.226801677097251
2010-01, 55.8, -0.194764790234552
2010-02, 43, -0.523792276932544
2010-03, 49.6, -0.354137479103891
2010-04, 29.8, -0.863101872589848
2010-05, 33, -0.78084500091535
2010-06, 90.2, 0.689496580266302
2010-07, 60.2, -0.0816615916821167
2010-08, 53.8, -0.246175335031113
2010-09, 81.8, 0.473572292120745
2010-10, 43.2, -0.518651222452888
2010-11, 38.6, -0.636895475484978
2010-12, 44.6, -0.482663841095295
2011-01, 77.4, 0.36046909356831
2011-02, 57.4, -0.153636354397303
2011-03, 34.2, -0.749998674037413
2011-04, 82.8, 0.499277564519025
2011-05, 30, -0.857960818110192
2011-06, 48.6, -0.379842751502172
2011-07, 91.2, 0.715201852664583
2011-08, 58.2, -0.133072136478678
2011-09, 23.2, -1.0327566704185
2011-10, 67.6, 0.10855742406516
2011-11, 17.8, -1.17156514136922
2011-12, 25.2, -0.981346125621939
2012-01, 110.8, 1.21902519167088
2012-02, 92.6, 0.751189234022176
2012-03, 78.6, 0.391315420446247
2012-04, 41, -0.575202821729105
2012-05, 20.4, -1.10473143313369
2012-06, 14.4, -1.25896306752337
2012-07, 102.8, 1.01338301248464
2012-08, 45.2, -0.467240677656326
2012-09, 187.2, 3.18290800289952
2012-10, 41.6, -0.559779658290137
2012-11, 13.4, -1.28466833992165
2012-12, 75.8, 0.319340657731061
2013-01, 72.8, 0.242224840536219
2013-02, 26, -0.960781907703314
2013-03, -99.9, -99.9
2013-04, 76, 0.324481712210717
2013-05, 35.8, -0.708870238200164
2013-06, 46.4, -0.43639435077839
2013-07, 45, -0.472381732135982
2013-08, 126.8, 1.63030955004337
2013-09, 55, -0.215329008153176
2013-10, 62.2, -0.0302510468855555
2013-11, 137, 1.89250332850584
2013-12, 66.4, 0.0777110971872233
2014-01, 32, -0.806550273313631
2014-02, 57.8, -0.14335424543799
2014-03, 47.4, -0.410689078380109
2014-04, 55.8, -0.194764790234552
2014-05, 28, -0.909371362906753
2014-06, 80.2, 0.432443856283496
2014-07, 110, 1.19846097375226
2014-08, 39.6, -0.611190203086698
2014-09, 66.8, 0.0879932061465353
2014-10, 126.8, 1.63030955004337
2014-11, 34.2, -0.749998674037413
2014-12, 77.8, 0.370751202527622
2015-01, 51.6, -0.30272693430733
2015-02, 42.4, -0.539215440371512
2015-03, 32.2, -0.801409218833974
2015-04, 32.4, -0.796268164354318
2015-05, 99.6, 0.93112614081014
2015-06, 58.2, -0.133072136478678
2015-07, 119.8, 1.45037264325541
2015-08, 39.6, -0.611190203086698
2015-09, 68.6, 0.13426269646344
2015-10, 140.8, 1.9901833636193
2015-11, 48.6, -0.379842751502172
2015-12, 39.6, -0.611190203086698
2016-01, 101.6, 0.982536685606701
2016-02, -99.9, -99.9
2016-03, 83, 0.504418618998682
2016-04, 121, 1.48121897013335
2016-05, 55.2, -0.21018795367352
2016-06, -99.9, -99.9
2016-07, 96.6, 0.854010323615298
2016-08, 43, -0.523792276932544
2016-09, 56.8, -0.169059517836271
2016-10, 125.8, 1.60460427764509
2016-11, 41, -0.575202821729105
2016-12, 44.8, -0.477522786615639
2017-01, 89.8, 0.67921447130699
2017-02, 20.8, -1.09444932417437
2017-03, 116.2, 1.3578336626216
2017-04, 64.4, 0.026300552390662
2017-05, 98.4, 0.900279813932204
2017-06, 96.4, 0.848869269135642
2017-07, 15.6, -1.22811674064543
2017-08, 45.2, -0.467240677656326
2017-09, 137.8, 1.91306754642446
2017-10, 172.4, 2.80246997140497
2017-11, 64.2, 0.0211594979110058
2017-12, 79.6, 0.417020692844527
2018-01, 35, -0.729434456118789
2018-02, 44, -0.498087004534263
2018-03, 37.6, -0.662600747883259
2018-04, 50.4, -0.333573261185267
2018-05, 74.4, 0.283353276373468
2018-06, 50.4, -0.333573261185267
2018-07, 66, 0.0674289882279109
2018-08, 68.4, 0.129121641983785
2018-09, 115.4, 1.33726944470297
2018-10, 41.8, -0.55463860381048
2018-11, 56.6, -0.174200572315927
2018-12, 21, -1.08930826969472
2019-01, 53.8, -0.246175335031113
2019-02, 39.4, -0.616331257566354
2019-03, 49, -0.36956064254286
2019-04, 90.6, 0.699778689225614
2019-05, 70.8, 0.190814295739658
2019-06, 38.6, -0.636895475484978
2019-07, 103.4, 1.02880617592361
2019-08, 30.4, -0.84767870915088
2019-09, 40.8, -0.580343876208761
2019-10, 96.6, 0.854010323615298
2019-11, 47.4, -0.410689078380109
2019-12, 7.99999999999997, -1.42347681087237
2020-01, 22, -1.06360299729644
2020-02, 42.2, -0.544356494851168
2020-03, 17, -1.19212935928784
2020-04, 12.2, -1.31551466679959
2020-05, 82.4, 0.488995455559713
2020-06, 117, 1.37839788054022
2020-07, 136.4, 1.87708016506687
2020-08, 49.2, -0.364419588063204
2020-09, 59.2, -0.107366864080397
2020-10, 49.4, -0.359278533583548
2020-11, 23.8, -1.01733350697953
2020-12, 64.6, 0.0314416068703178
2021-01, -99.9, -99.9
2021-02, 23.4, -1.02761561593884
2021-03, 25.4, -0.976205071142283
2021-04, 26.2, -0.955640853223658
2021-05, 76, 0.324481712210717
2021-06, 116.4, 1.36297471710125
2021-07, 32.4, -0.796268164354318
2021-08, 102, 0.992818794566014
2021-09, 74.8, 0.29363538533278
2021-10, 30.4, -0.84767870915088
2021-11, 42.6, -0.534074385891856
2021-12, 60.4, -0.0765205372024607
2022-01, 69.8, 0.165109023341377
2022-02, 13, -1.29495044888096
2022-03, 62.2, -0.0302510468855555
2022-04, 48, -0.39526591494114
2022-05, 55, -0.215329008153176
2022-06, 36.6, -0.68830602028154
2022-07, 64, 0.0160184434313496
2022-08, 34.8, -0.734575510598445
2022-09, 23.2, -1.0327566704185
2022-10, 52.8, -0.271880607429394
2022-11, 52.8, -0.271880607429394
2022-12, 26.8, -0.94021768978469
2023-01, 17.6, -1.17670619584887
2023-02, 73.6, 0.262789058454844
2023-03, 32, -0.806550273313631
2023-04, 13.2, -1.28980939440131
2023-05, -99.9, -99.9
2023-06, 164.4, 2.59682779221873
2023-07, 93.6, 0.776894506420456
2023-08, 51.4, -0.307867988786986
2023-09, 104.2, 1.04937039384223
2023-10, 46, -0.446676459737702
2023-11, 145.8, 2.11870972561071
2023-12, 32.8, -0.785986055395006
2024-01, 108.2, 1.15219148343535
2024-02, 28.6, -0.893948199467785
2024-03, 53.4, -0.256457443990425
2024-04, 172, 2.79218786244566
2024-05, 280.4, 5.57863939041928
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
