"Description: ","Annual number of days when TX > 25 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, su, normalised (all years)
2008, -99.9, -99.9
2009, 203, -0.297389302227456
2010, 179, -1.82681999939724
2011, 191, -1.06210465081235
2012, 233, 1.61439906923477
2013, -99.9, -99.9
2014, 206, -0.106210465081234
2015, 203, -0.297389302227456
2016, -99.9, -99.9
2017, 223, 0.97713627874736
2018, 212, 0.276147209211211
2019, 216, 0.531052325406174
2020, 224, 1.0408625577961
2021, -99.9, -99.9
2022, 190, -1.12583092986109
2023, 212, 0.276147209211211
2024, -99.9, -99.9
