"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, su, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 27, 1.00700174104465
2008-03, 28, 1.10713122894862
2008-04, 15, -0.194552113803062
2008-05, 6, -1.09571750493884
2008-06, 0, -1.6964944323627
2008-07, 7, -0.995588017034868
2008-08, 5, -1.19584699284282
2008-09, 5, -1.19584699284282
2008-10, 11, -0.595070065418965
2008-11, 22, 0.506354301524769
2008-12, 28, 1.10713122894862
2009-01, 28, 1.10713122894862
2009-02, 28, 1.10713122894862
2009-03, 30, 1.30739020475657
2009-04, 22, 0.506354301524769
2009-05, 14, -0.294681601707037
2009-06, 3, -1.39610596865077
2009-07, 1, -1.59636494445872
2009-08, 11, -0.595070065418965
2009-09, 6, -1.09571750493884
2009-10, 12, -0.494940577514989
2009-11, 23, 0.606483789428744
2009-12, 25, 0.806742765236696
2010-01, 30, 1.30739020475657
2010-02, 27, 1.00700174104465
2010-03, 29, 1.2072607168526
2010-04, 12, -0.494940577514989
2010-05, 2, -1.49623545655475
2010-06, 3, -1.39610596865077
2010-07, 8, -0.895458529130892
2010-08, 4, -1.2959764807468
2010-09, 3, -1.39610596865077
2010-10, 8, -0.895458529130892
2010-11, 24, 0.70661327733272
2010-12, 29, 1.2072607168526
2011-01, 30, 1.30739020475657
2011-02, 27, 1.00700174104465
2011-03, 26, 0.906872253140672
2011-04, 20, 0.306095325716817
2011-05, 3, -1.39610596865077
2011-06, 1, -1.59636494445872
2011-07, 4, -1.2959764807468
2011-08, 4, -1.2959764807468
2011-09, 8, -0.895458529130892
2011-10, 16, -0.0944226258990859
2011-11, 24, 0.70661327733272
2011-12, 28, 1.10713122894862
2012-01, 29, 1.2072607168526
2012-02, 29, 1.2072607168526
2012-03, 27, 1.00700174104465
2012-04, 18, 0.105836349908866
2012-05, 16, -0.0944226258990859
2012-06, 7, -0.995588017034868
2012-07, 4, -1.2959764807468
2012-08, 20, 0.306095325716817
2012-09, 10, -0.695199553322941
2012-10, 18, 0.105836349908866
2012-11, 27, 1.00700174104465
2012-12, 28, 1.10713122894862
2013-01, 31, 1.40751969266055
2013-02, 27, 1.00700174104465
2013-03, -99.9, -99.9
2013-04, 22, 0.506354301524769
2013-05, 6, -1.09571750493884
2013-06, 0, -1.6964944323627
2013-07, 5, -1.19584699284282
2013-08, 7, -0.995588017034868
2013-09, 8, -0.895458529130892
2013-10, 14, -0.294681601707037
2013-11, 26, 0.906872253140672
2013-12, 28, 1.10713122894862
2014-01, 31, 1.40751969266055
2014-02, 26, 0.906872253140672
2014-03, 27, 1.00700174104465
2014-04, 20, 0.306095325716817
2014-05, 5, -1.19584699284282
2014-06, 1, -1.59636494445872
2014-07, 4, -1.2959764807468
2014-08, 12, -0.494940577514989
2014-09, 10, -0.695199553322941
2014-10, 17, 0.00570686200488983
2014-11, 23, 0.606483789428744
2014-12, 30, 1.30739020475657
2015-01, 31, 1.40751969266055
2015-02, 28, 1.10713122894862
2015-03, 31, 1.40751969266055
2015-04, 18, 0.105836349908866
2015-05, 12, -0.494940577514989
2015-06, 5, -1.19584699284282
2015-07, 3, -1.39610596865077
2015-08, 16, -0.0944226258990859
2015-09, 6, -1.09571750493884
2015-10, 9, -0.795329041226916
2015-11, 17, 0.00570686200488983
2015-12, 27, 1.00700174104465
2016-01, 31, 1.40751969266055
2016-02, -99.9, -99.9
2016-03, 25, 0.806742765236696
2016-04, 21, 0.406224813620793
2016-05, 0, -1.6964944323627
2016-06, 0, -1.6964944323627
2016-07, 6, -1.09571750493884
2016-08, 6, -1.09571750493884
2016-09, 7, -0.995588017034868
2016-10, 14, -0.294681601707037
2016-11, 20, 0.306095325716817
2016-12, 30, 1.30739020475657
2017-01, 31, 1.40751969266055
2017-02, 28, 1.10713122894862
2017-03, 27, 1.00700174104465
2017-04, 15, -0.194552113803062
2017-05, 7, -0.995588017034868
2017-06, 10, -0.695199553322941
2017-07, 16, -0.0944226258990859
2017-08, 11, -0.595070065418965
2017-09, 16, -0.0944226258990859
2017-10, 15, -0.194552113803062
2017-11, 19, 0.205965837812841
2017-12, 28, 1.10713122894862
2018-01, 30, 1.30739020475657
2018-02, 28, 1.10713122894862
2018-03, 25, 0.806742765236696
2018-04, 28, 1.10713122894862
2018-05, 11, -0.595070065418965
2018-06, 3, -1.39610596865077
2018-07, 5, -1.19584699284282
2018-08, 3, -1.39610596865077
2018-09, 11, -0.595070065418965
2018-10, 17, 0.00570686200488983
