"Description: ","Annual number of days when TM >= 5 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tmge5, normalised (all years)
2008, -99.9, -99.9
2009, 364, -0.866025403784439
2010, 365, 0.288675134594813
2011, 364, -0.866025403784439
2012, 366, 1.44337567297406
2013, -99.9, -99.9
2014, 365, 0.288675134594813
2015, 365, 0.288675134594813
2016, -99.9, -99.9
2017, 363, -2.02072594216369
2018, 365, 0.288675134594813
2019, 365, 0.288675134594813
2020, 366, 1.44337567297406
2021, -99.9, -99.9
2022, 365, 0.288675134594813
2023, 364, -0.866025403784439
2024, -99.9, -99.9
