"Description: ","Annual number of days when TM < 10 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tmlt10, normalised (all years)
2008, -99.9, -99.9
2009, 8, 0.661672838549107
2010, 8, 0.661672838549107
2011, 14, 2.1504367252846
2012, 8, 0.661672838549107
2013, -99.9, -99.9
2014, 2, -0.827091048186383
2015, 1, -1.0752183626423
2016, -99.9, -99.9
2017, 2, -0.827091048186383
2018, 4, -0.330836419274553
2019, 4, -0.330836419274553
2020, 9, 0.909800153005021
2021, -99.9, -99.9
2022, 3, -0.578963733730468
2023, 1, -1.0752183626423
2024, -99.9, -99.9
