"Description: ","Heatwave definitions and aspects"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, -99.9, -99.9, -99.9
2009, 23.7, 27.9, 4, 3, 12
2010, -99.9, -99.9, 0, -99.9, 0
2011, 24.775, 25.6, 1, 4, 4
2012, 23.4, 27.4, 2, 3, 6
2013, -99.9, -99.9, -99.9, -99.9, -99.9
2014, -99.9, -99.9, 0, -99.9, 0
2015, 24.2333333333333, 24.8, 2, 3, 6
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 25.975, 26.8, 1, 4, 4
2019, 24.3333333333333, 24.7, 1, 3, 3
2020, -99.9, -99.9, 0, -99.9, 0
2021, 24.825, 27.1, 1, 4, 4
2022, 22.7092063492063, 23.7, 3, 7, 15
2023, 24.1322222222222, 26.3, 3, 5, 12
2024, -99.9, -99.9, -99.9, -99.9, -99.9
