"Description: ","Monthly percentage of days when TN > 90th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tn90p, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 0, -1.06067522474501
2008-03, 6.45161290322581, -0.430751432852187
2008-04, 0, -1.06067522474501
2008-05, 13.3333333333333, 0.241167278500158
2008-06, 0, -1.06067522474501
2008-07, 11.491935483871, 0.061376529564087
2008-08, 6.25, -0.450436551348838
2008-09, 3.33333333333333, -0.73521459893372
2008-10, 6.04838709677419, -0.470121669845489
2008-11, 3.33333333333333, -0.73521459893372
2008-12, 0, -1.06067522474501
2009-01, 0, -1.06067522474501
2009-02, 0, -1.06067522474501
2009-03, 3.2258064516129, -0.745713328798601
2009-04, 0, -1.06067522474501
2009-05, 9.67741935483871, -0.115789536905774
2009-06, 3.33333333333333, -0.73521459893372
2009-07, 0, -1.06067522474501
2009-08, 0, -1.06067522474501
2009-09, 3.33333333333333, -0.73521459893372
2009-10, 3.2258064516129, -0.745713328798601
2009-11, 31.875, 2.05154200957548
2009-12, 17.3387096774194, 0.632244965966962
2010-01, 4.63709677419355, -0.607917499322044
2010-02, 31.6964285714286, 2.03410661890702
2010-03, 9.4758064516129, -0.135474655402425
2010-04, 2.91666666666667, -0.775897177160131
2010-05, 9.2741935483871, -0.155159773899075
2010-06, 0, -1.06067522474501
2010-07, 5.44354838709677, -0.529177025335442
2010-08, 6.04838709677419, -0.470121669845489
2010-09, 3.33333333333333, -0.73521459893372
2010-10, 0, -1.06067522474501
2010-11, 3.33333333333333, -0.73521459893372
2010-12, 3.2258064516129, -0.745713328798601
2011-01, 11.8951612903226, 0.100746766557387
2011-02, 5.58035714285714, -0.515819266355571
2011-03, 3.2258064516129, -0.745713328798601
2011-04, 0, -1.06067522474501
2011-05, 0, -1.06067522474501
2011-06, 6.89655172413793, -0.387308412721647
2011-07, 5.04032258064516, -0.568547262328743
2011-08, 3.2258064516129, -0.745713328798601
2011-09, 0, -1.06067522474501
2011-10, 13.3064516129032, 0.238542596033939
2011-11, 2.29166666666667, -0.836921044499749
2011-12, 2.82258064516129, -0.785083565791902
2012-01, 7.86290322580645, -0.292955603375631
2012-02, 16.5948275862069, 0.559613666686212
2012-03, 3.2258064516129, -0.745713328798601
2012-04, 3.33333333333333, -0.73521459893372
2012-05, 6.45161290322581, -0.430751432852187
2012-06, 15.2083333333333, 0.424238880519011
2012-07, 9.2741935483871, -0.155159773899075
2012-08, 34.2741935483871, 2.28579491968563
2012-09, 18.75, 0.770040795443514
2012-10, 39.9193548387097, 2.83697823759185
2012-11, 16.6666666666667, 0.566627904311458
2012-12, 25.8064516129032, 1.45901994282629
2013-01, 0, -1.06067522474501
2013-02, 6.71296296296296, -0.405233686652825
2013-03, -99.9, -99.9
2013-04, 2.29166666666667, -0.836921044499749
2013-05, 8.66935483870968, -0.214215129389028
2013-06, 0, -1.06067522474501
2013-07, 15.1209677419355, 0.4157086625038
2013-08, 3.0241935483871, -0.765398447295251
2013-09, 9.79166666666667, -0.104634636424338
2013-10, 3.2258064516129, -0.745713328798601
2013-11, 10, -0.0842933473111323
2013-12, 17.741935483871, 0.671615202960263
2014-01, 27.4193548387097, 1.6165008907995
2014-02, 28.5714285714286, 1.72898728220894
2014-03, 9.67741935483871, -0.115789536905774
2014-04, 12.7083333333333, 0.180143411160541
2014-05, 6.45161290322581, -0.430751432852187
2014-06, 17.7083333333333, 0.668334349877481
2014-07, 12.2983870967742, 0.140117003550688
2014-08, 6.25, -0.450436551348838
2014-09, 11.0416666666667, 0.0174130982549002
2014-10, 8.26612903225806, -0.25358536638233
2014-11, 18.75, 0.770040795443514
2014-12, 12.9032258064516, 0.199172359040638
2015-01, 21.7741935483871, 1.06531757289328
2015-02, 2.45535714285714, -0.820938603053659
2015-03, 9.2741935483871, -0.155159773899075
2015-04, 6.04166666666667, -0.470777840462043
2015-05, 22.3790322580645, 1.12437292838323
2015-06, 22.0833333333333, 1.0955014212548
2015-07, 7.86290322580645, -0.292955603375631
2015-08, 54.4354838709677, 4.25430676935071
2015-09, 13.125, 0.220825989386956
2015-10, 3.2258064516129, -0.745713328798601
2015-11, 3.33333333333333, -0.73521459893372
2015-12, 11.8951612903226, 0.100746766557387
2016-01, 3.2258064516129, -0.745713328798601
2016-02, -99.9, -99.9
2016-03, 2.41935483870968, -0.824453802785204
2016-04, 45.2083333333333, 3.35338451282066
2016-05, 0, -1.06067522474501
2016-06, 0, -1.06067522474501
2016-07, 6.45161290322581, -0.430751432852187
2016-08, 18.9516129032258, 0.789725913940164
2016-09, 0, -1.06067522474501
2016-10, 9.67741935483871, -0.115789536905774
2016-11, 9.375, -0.14531721465075
2016-12, 12.9032258064516, 0.199172359040638
2017-01, 8.26612903225806, -0.25358536638233
2017-02, 27.2321428571429, 1.59822185219547
2017-03, 21.1693548387097, 1.00626221740333
2017-04, 15.8333333333333, 0.485262747858629
2017-05, 16.1290322580645, 0.514134254987051
2017-06, 15.2083333333333, 0.424238880519011
2017-07, 27.5862068965517, 1.63279202334845
2017-08, 26.008064516129, 1.47870506132294
2017-09, 29.7916666666667, 1.84812911844343
2017-10, 11.2903225806452, 0.0416914110674367
2017-11, 3.33333333333333, -0.73521459893372
2017-12, 6.45161290322581, -0.430751432852187
2018-01, 6.25, -0.450436551348838
2018-02, 2.90178571428571, -0.777350126382504
2018-03, 6.45161290322581, -0.430751432852187
2018-04, 25.2083333333333, 1.40062075795289
2018-05, 17.741935483871, 0.671615202960263
2018-06, 6.66666666666667, -0.409753973122426
2018-07, 9.4758064516129, -0.135474655402425
2018-08, 0, -1.06067522474501
2018-09, 22.0833333333333, 1.0955014212548
2018-10, 14.5161290322581, 0.35665330701385
2018-11, 9.79166666666667, -0.104634636424338
2018-12, 9.4758064516129, -0.135474655402425
2019-01, 33.8709677419355, 2.24642468269233
2019-02, 7.14285714285714, -0.363259598006527
2019-03, 6.04838709677419, -0.470121669845489
2019-04, 20, 0.892088530122749
2019-05, 30.8467741935484, 1.95114790524257
2019-06, 45.625, 3.39406709104707
2019-07, 6.45161290322581, -0.430751432852187
2019-08, 9.2741935483871, -0.155159773899075
2019-09, 3.33333333333333, -0.73521459893372
2019-10, 25.6048387096774, 1.43933482432964
2019-11, 6.66666666666667, -0.409753973122426
2019-12, 7.45967741935484, -0.332325840368933
2020-01, 9.07258064516129, -0.174844892395726
2020-02, 10.3448275862069, -0.0506250067099636
2020-03, 12.2983870967742, 0.140117003550688
2020-04, 8.125, -0.267364949329985
2020-05, 5.24193548387097, -0.548862143832092
2020-06, 28.3333333333333, 1.70574009465098
2020-07, 16.7338709677419, 0.573189610477002
2020-08, 3.0241935483871, -0.765398447295251
2020-09, 3.33333333333333, -0.73521459893372
2020-10, 17.9435483870968, 0.691300321456913
2020-11, 10, -0.0842933473111323
2020-12, 5.04032258064516, -0.568547262328743
2021-01, 7.14285714285714, -0.363259598006527
2021-02, 0, -1.06067522474501
2021-03, 6.45161290322581, -0.430751432852187
2021-04, 9.375, -0.14531721465075
2021-05, 3.2258064516129, -0.745713328798601
2021-06, 3.33333333333333, -0.73521459893372
2021-07, 6.45161290322581, -0.430751432852187
2021-08, 0, -1.06067522474501
2021-09, 13.125, 0.220825989386956
2021-10, 6.45161290322581, -0.430751432852187
2021-11, 9.58333333333333, -0.124975925537544
2021-12, 3.0241935483871, -0.765398447295251
2022-01, 28.6290322580645, 1.7346116017794
2022-02, 7.14285714285714, -0.363259598006527
2022-03, 3.2258064516129, -0.745713328798601
2022-04, 3.125, -0.755555888046926
2022-05, 2.21774193548387, -0.844138921281855
2022-06, 0, -1.06067522474501
2022-07, 18.9516129032258, 0.789725913940164
2022-08, 0, -1.06067522474501
2022-09, 3.33333333333333, -0.73521459893372
2022-10, 6.45161290322581, -0.430751432852187
2022-11, 3.125, -0.755555888046926
2022-12, 18.9516129032258, 0.789725913940164
2023-01, 6.45161290322581, -0.430751432852187
2023-02, 3.57142857142857, -0.711967411375771
2023-03, 35.4838709677419, 2.40390563066553
2023-04, 3.125, -0.755555888046926
2023-05, 11.875, 0.0987782547077204
2023-06, 20, 0.892088530122749
2023-07, 11.0887096774194, 0.0220062925707866
2023-08, 11.2903225806452, 0.0416914110674367
2023-09, 33.3333333333333, 2.19393103336792
2023-10, 9.67741935483871, -0.115789536905774
2023-11, 11.25, 0.0377543873681029
2023-12, 21.7741935483871, 1.06531757289328
2024-01, 5.44354838709677, -0.529177025335442
2024-02, 20.9051724137931, 0.980467924200816
2024-03, 31.0483870967742, 1.97083302373922
2024-04, 30.2083333333333, 1.88881169666983
2024-05, 18.9516129032258, 0.789725913940164
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
