"Description: ","Annual number of days when TN < -20 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tnltm20, normalised (all years)
2008, -99.9, -99.9
2009, 0, -99.9
2010, 0, -99.9
2011, 0, -99.9
2012, 0, -99.9
2013, -99.9, -99.9
2014, 0, -99.9
2015, 0, -99.9
2016, -99.9, -99.9
2017, 0, -99.9
2018, 0, -99.9
2019, 0, -99.9
2020, 0, -99.9
2021, 0, -99.9
2022, 0, -99.9
2023, 0, -99.9
2024, -99.9, -99.9
