"Description: ","Annual coldest daily TN"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tnn, normalised (all years)
2008, -99.9, -99.9
2009, 0.3, -1.71053704411312
2010, 2.8, -0.089765792402438
2011, 1.9, -0.673243443018283
2012, 1.1, -1.1918902435657
2013, -99.9, -99.9
2014, 3.6, 0.42888100814498
2015, 5.7, 1.79032885958195
2016, -99.9, -99.9
2017, 5.5, 1.6606671594451
2018, 2.6, -0.219427492539292
2019, 2.2, -0.478750892813001
2020, 2.7, -0.154596642470865
2021, 2.3, -0.413920042744574
2022, 3.6, 0.42888100814498
2023, 3.9, 0.623373558350262
2024, -99.9, -99.9
