"Description: ","Monthly coldest daily TN"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tnn, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 14.4, 0.841400371205468
2008-03, 16.3, 1.23323887635561
2008-04, 7.2, -0.643461332521377
2008-05, 3.6, -1.3858921843848
2008-06, 2.3, -1.65399221422437
2008-07, 6.8, -0.72595364939509
2008-08, 4.1, -1.28277678829266
2008-09, 7.2, -0.643461332521377
2008-10, 7.6, -0.560969015647663
2008-11, 12.6, 0.470184945273757
2008-12, 13, 0.55267726214747
2009-01, 14.5, 0.862023450423896
2009-02, 16, 1.17136963870032
2009-03, 13.9, 0.738284975113326
2009-04, 11.1, 0.160838756997331
2009-05, 7.1, -0.664084411739805
2009-06, 4, -1.30339986751109
2009-07, 0.3, -2.06645379859294
2009-08, 4.9, -1.11779215454523
2009-09, 7.7, -0.540345936429235
2009-10, 10.1, -0.0453920351869532
2009-11, 15.7, 1.10950040104504
2009-12, 12.8, 0.511431103710614
2010-01, 17.7, 1.52196198541361
2010-02, 13.9, 0.738284975113326
2010-03, 13.7, 0.697038816676469
2010-04, 9.2, -0.230999748152809
2010-05, 10.1, -0.0453920351869532
2010-06, 4.4, -1.22090755063737
2010-07, 3.4, -1.42713834282166
2010-08, 2.8, -1.55087681813223
2010-09, 9.3, -0.21037666893438
2010-10, 8.5, -0.375361302681808
2010-11, 10.9, 0.119592598560474
2010-12, 11.6, 0.263954153089473
2011-01, 20.3, 2.05816204509274
2011-02, 17.8, 1.54258506463203
2011-03, 14.1, 0.779531133550183
2011-04, 11.1, 0.160838756997331
2011-05, 9.3, -0.21037666893438
2011-06, 4.2, -1.26215370907423
2011-07, 1.9, -1.73648453109808
2011-08, 2.5, -1.61274605578751
2011-09, 5.2, -1.05592291688994
2011-10, 9.9, -0.0866381936238099
2011-11, 11.8, 0.30520031152633
2011-12, 14.5, 0.862023450423896
2012-01, 17.2, 1.41884658932146
2012-02, 17.9, 1.56320814385046
2012-03, 10.1, -0.0453920351869532
2012-04, 8.6, -0.354738223463379
2012-05, 7.3, -0.622838253302948
2012-06, 1.1, -1.90146916484551
2012-07, 2.9, -1.5302537389138
2012-08, 7.1, -0.664084411739805
2012-09, 7.4, -0.60221517408452
2012-10, 12.7, 0.490808024492185
2012-11, 13.7, 0.697038816676469
2012-12, 15.9, 1.15074655948189
2013-01, 14.4, 0.841400371205468
2013-02, 14.8, 0.923892688079182
2013-03, -99.9, -99.9
2013-04, 10.1, -0.0453920351869532
2013-05, 5.6, -0.973430600016231
2013-06, 7, -0.684707490958234
2013-07, 1.4, -1.83959992719022
2013-08, 5.2, -1.05592291688994
2013-09, 6.2, -0.849692124705661
2013-10, 11.1, 0.160838756997331
2013-11, 12.2, 0.387692628400043
2013-12, 15.6, 1.08887732182661
2014-01, 17.4, 1.46009274775832
2014-02, 17.6, 1.50133890619518
2014-03, 11.6, 0.263954153089473
2014-04, 11, 0.140215677778902
2014-05, 7, -0.684707490958234
2014-06, 4.6, -1.17966139220052
2014-07, 5.3, -1.03529983767152
2014-08, 3.6, -1.3858921843848
2014-09, 10.6, 0.0577233609051887
2014-10, 13.3, 0.614546499802756
2014-11, 13.6, 0.676415737458041
2014-12, 14.4, 0.841400371205468
