"Description: ","Annual warmest daily TN"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tnx, normalised (all years)
2008, -99.9, -99.9
2009, 24.5, -1.0867077911844
2010, 27.9, 1.31491642733312
2011, 25.2, -0.592255746195498
2012, 27.8, 1.24428042090613
2013, -99.9, -99.9
2014, 28.4, 1.66809645946805
2015, 24.9, -0.804163765476456
2016, -99.9, -99.9
2017, 25.1, -0.662891752622482
2018, 24.1, -1.36925181689234
2019, 26.8, 0.537920356636276
2020, 25.7, -0.239075714060569
2021, 25, -0.733527759049469
2022, 27.1, 0.749828375917234
2023, 26, -0.0271676947796111
2024, -99.9, -99.9
