"Description: ","Monthly warmest daily TN"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tnx, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 23.2, 0.671900183683042
2008-03, 24.1, 0.961850188801825
2008-04, 20.4, -0.230166498908725
2008-05, 20, -0.359033167850405
2008-06, 14.6, -2.0987331985631
2008-07, 16.4, -1.51883318832553
2008-08, 18.1, -0.971149845323389
2008-09, 18.8, -0.745633174675448
2008-10, 20.3, -0.262383166144144
2008-11, 21.1, -0.00464982826078228
2008-12, 22.3, 0.38195017856426
2009-01, 22.9, 0.575250181976781
2009-02, 23.4, 0.736333518153882
2009-03, 23.4, 0.736333518153882
2009-04, 20.9, -0.0690831627316237
2009-05, 19.4, -0.552333171262927
2009-06, 16.6, -1.45439985385469
2009-07, 14.5, -2.13094986579852
2009-08, 16.3, -1.55104985556095
2009-09, 18, -1.00336651255881
2009-10, 20.5, -0.197949831673304
2009-11, 24.2, 0.994066856037244
2009-12, 24.5, 1.09071685774351
2010-01, 23.5, 0.768550185389303
2010-02, 27.9, 2.18608354374779
2010-03, 22.4, 0.41416684579968
2010-04, 20.6, -0.165733164437883
2010-05, 19, -0.681199840204608
2010-06, 15.8, -1.71213319173805
2010-07, 16.4, -1.51883318832553
2010-08, 18.7, -0.777849841910868
2010-09, 18.4, -0.874499843617129
2010-10, 18.7, -0.777849841910868
2010-11, 22.1, 0.31751684409342
2010-12, 22.5, 0.4463835130351
2011-01, 25.2, 1.31623352839145
2011-02, 25, 1.25180019392061
2011-03, 25, 1.25180019392061
2011-04, 20.3, -0.262383166144144
2011-05, 17.8, -1.06779984702965
2011-06, 17.6, -1.13223318150049
2011-07, 15.1, -1.937649862386
2011-08, 18.2, -0.93893317808797
2011-09, 17.7, -1.10001651426507
2011-10, 19.6, -0.487899836792086
2011-11, 20.8, -0.101299829967043
2011-12, 22.8, 0.543033514741361
2012-01, 25.2, 1.31623352839145
2012-02, 25.6, 1.44510019733313
2012-03, 24, 0.929633521566404
2012-04, 22.6, 0.478600180270521
2012-05, 19.4, -0.552333171262927
2012-06, 17.6, -1.13223318150049
2012-07, 18.1, -0.971149845323389
2012-08, 19.1, -0.648983172969187
2012-09, 20.8, -0.101299829967043
2012-10, 20.9, -0.0690831627316237
2012-11, 22.1, 0.31751684409342
2012-12, 27.8, 2.15386687651237
2013-01, 23.2, 0.671900183683042
2013-02, 25, 1.25180019392061
2013-03, -99.9, -99.9
2013-04, 21.4, 0.0920001734454775
2013-05, 19.2, -0.616766505733767
2013-06, 14.6, -2.0987331985631
2013-07, 17.5, -1.16444984873591
2013-08, 17.3, -1.22888318320675
2013-09, 20.2, -0.294599833379565
2013-10, 19, -0.681199840204608
2013-11, 22.1, 0.31751684409342
2013-12, 25.3, 1.34845019562687
2014-01, 28.4, 2.34716687992489
2014-02, 28, 2.21830021098321
2014-03, 23, 0.607466849212202
2014-04, 22.1, 0.31751684409342
2014-05, 18.8, -0.745633174675448
2014-06, 19.9, -0.391249835085826
2014-07, 19, -0.681199840204608
2014-08, 18.4, -0.874499843617129
2014-09, 19.1, -0.648983172969187
2014-10, 21.1, -0.00464982826078228
2014-11, 21.5, 0.124216840680898
2014-12, 25, 1.25180019392061
2015-01, 24.9, 1.21958352668519
2015-02, 23.7, 0.832983519860143
2015-03, 23.5, 0.768550185389303
2015-04, 21, -0.036866495496203
2015-05, 19.5, -0.520116504027506
2015-06, 18.3, -0.906716510852549
2015-07, 17.5, -1.16444984873591
2015-08, 22.6, 0.478600180270521
2015-09, 19.1, -0.648983172969187
2015-10, 19.6, -0.487899836792086
2015-11, 22, 0.285300176857999
2015-12, 24.8, 1.18736685944977
2016-01, 23.8, 0.865200187095564
2016-02, -99.9, -99.9
2016-03, 22.4, 0.41416684579968
2016-04, 25, 1.25180019392061
2016-05, 17.8, -1.06779984702965
2016-06, 12.4, -2.80749987774234
2016-07, 18, -1.00336651255881
2016-08, 18.7, -0.777849841910868
2016-09, 17.3, -1.22888318320675
2016-10, 20.7, -0.133516497202464
2016-11, 23.2, 0.671900183683042
2016-12, 24.3, 1.02628352327266
2017-01, 24.5, 1.09071685774351
2017-02, 25.1, 1.28401686115603
2017-03, 24.9, 1.21958352668519
2017-04, 23.4, 0.736333518153882
2017-05, 19.4, -0.552333171262927
2017-06, 17.2, -1.26109985044217
2017-07, 19.3, -0.584549838498347
2017-08, 18.7, -0.777849841910868
2017-09, 20.7, -0.133516497202464
2017-10, 20.4, -0.230166498908725
2017-11, 22.5, 0.4463835130351
2017-12, 24.1, 0.961850188801825
2018-01, 23.7, 0.832983519860143
2018-02, 23.8, 0.865200187095564
2018-03, 22.7, 0.510816847505941
2018-04, 22.2, 0.34973351132884
2018-05, 20.8, -0.101299829967043
2018-06, 17.3, -1.22888318320675
2018-07, 18.3, -0.906716510852549
2018-08, 16.9, -1.35774985214843
2018-09, 19.3, -0.584549838498347
2018-10, 20.8, -0.101299829967043
2018-11, 21.6, 0.156433507916319
2018-12, 24.1, 0.961850188801825
2019-01, 26.8, 1.83170020415817
2019-02, 25.7, 1.47731686456855
2019-03, 24.1, 0.961850188801825
2019-04, 22.7, 0.510816847505941
2019-05, 21.3, 0.059783506210058
2019-06, 20.3, -0.262383166144144
2019-07, 17, -1.32553318491301
2019-08, 19.4, -0.552333171262927
2019-09, 20.9, -0.0690831627316237
2019-10, 21.2, 0.0275668389746373
2019-11, 21.7, 0.188650175151738
2019-12, 23.5, 0.768550185389303
2020-01, 25.7, 1.47731686456855
2020-02, 24.7, 1.15515019221435
2020-03, 23.9, 0.897416854330983
2020-04, 21.7, 0.188650175151738
2020-05, 18.1, -0.971149845323389
2020-06, 19.4, -0.552333171262927
2020-07, 17.2, -1.26109985044217
2020-08, 18.1, -0.971149845323389
2020-09, 19.4, -0.552333171262927
2020-10, 20.8, -0.101299829967043
2020-11, 22.4, 0.41416684579968
2020-12, 24.2, 0.994066856037244
2021-01, 25, 1.25180019392061
2021-02, 23.7, 0.832983519860143
2021-03, 23.9, 0.897416854330983
2021-04, 23.6, 0.800766852624723
2021-05, 20.5, -0.197949831673304
2021-06, 15.8, -1.71213319173805
2021-07, 17.7, -1.10001651426507
2021-08, 16.7, -1.42218318661927
2021-09, 18.3, -0.906716510852549
2021-10, 20.4, -0.230166498908725
2021-11, 21.7, 0.188650175151738
2021-12, 22.6, 0.478600180270521
2022-01, 27.1, 1.92835020586443
2022-02, 24.5, 1.09071685774351
2022-03, 23.8, 0.865200187095564
2022-04, 20.7, -0.133516497202464
2022-05, 17.2, -1.26109985044217
2022-06, 15.5, -1.80878319344432
2022-07, 17.3, -1.22888318320675
2022-08, 16, -1.64769985726721
2022-09, 19.3, -0.584549838498347
2022-10, 20.8, -0.101299829967043
2022-11, 21, -0.036866495496203
2022-12, 23.2, 0.671900183683042
2023-01, 25.4, 1.38066686286229
2023-02, 26, 1.57396686627481
