"Description: ","Monthly number of days when TN > 20 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tr, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 15, 0.947525679601809
2008-03, 12, 0.592203549751131
2008-04, 1, -0.710644259701357
2008-05, 0, -0.829084969651583
2008-06, 0, -0.829084969651583
2008-07, 0, -0.829084969651583
2008-08, 0, -0.829084969651583
2008-09, 0, -0.829084969651583
2008-10, 1, -0.710644259701357
2008-11, 3, -0.473762839800905
2008-12, 8, 0.118440709950226
2009-01, 15, 0.947525679601809
2009-02, 16, 1.06596638955204
2009-03, 14, 0.829084969651583
2009-04, 2, -0.592203549751131
2009-05, 0, -0.829084969651583
2009-06, 0, -0.829084969651583
2009-07, 0, -0.829084969651583
2009-08, 0, -0.829084969651583
2009-09, 0, -0.829084969651583
2009-10, 1, -0.710644259701357
2009-11, 14, 0.829084969651583
2009-12, 16, 1.06596638955204
2010-01, 24, 2.01349206915384
2010-02, 22, 1.77661064925339
2010-03, 14, 0.829084969651583
2010-04, 4, -0.355322129850678
2010-05, 0, -0.829084969651583
2010-06, 0, -0.829084969651583
2010-07, 0, -0.829084969651583
2010-08, 0, -0.829084969651583
2010-09, 0, -0.829084969651583
2010-10, 0, -0.829084969651583
2010-11, 1, -0.710644259701357
2010-12, 11, 0.473762839800905
2011-01, 31, 2.84257703880543
2011-02, 21, 1.65816993930317
2011-03, 10, 0.355322129850678
2011-04, 1, -0.710644259701357
2011-05, 0, -0.829084969651583
2011-06, 0, -0.829084969651583
2011-07, 0, -0.829084969651583
2011-08, 0, -0.829084969651583
2011-09, 0, -0.829084969651583
2011-10, 0, -0.829084969651583
2011-11, 5, -0.236881419900452
2011-12, 5, -0.236881419900452
2012-01, 14, 0.829084969651583
2012-02, 25, 2.13193277910407
2012-03, 11, 0.473762839800905
2012-04, 4, -0.355322129850678
2012-05, 0, -0.829084969651583
2012-06, 0, -0.829084969651583
2012-07, 0, -0.829084969651583
2012-08, 0, -0.829084969651583
2012-09, 1, -0.710644259701357
2012-10, 3, -0.473762839800905
2012-11, 6, -0.118440709950226
2012-12, 19, 1.42128851940271
2013-01, 12, 0.592203549751131
2013-02, 18, 1.30284780945249
2013-03, -99.9, -99.9
2013-04, 3, -0.473762839800905
2013-05, 0, -0.829084969651583
2013-06, 0, -0.829084969651583
2013-07, 0, -0.829084969651583
2013-08, 0, -0.829084969651583
2013-09, 1, -0.710644259701357
2013-10, 0, -0.829084969651583
2013-11, 7, 0
