"Description: ","Number of 2 consecutive days where both TX > 95th percentile and TN > 95th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tx2tn2, normalised (all years)
2008, -99.9, -99.9
2009, 0, -0.288675134594813
2010, 0, -0.288675134594813
2011, 0, -0.288675134594813
2012, 0, -0.288675134594813
2013, -99.9, -99.9
2014, 0, -0.288675134594813
2015, 1, 3.17542648054294
2016, -99.9, -99.9
2017, 0, -0.288675134594813
2018, 0, -0.288675134594813
2019, 0, -0.288675134594813
2020, 0, -0.288675134594813
2021, -99.9, -99.9
2022, 0, -0.288675134594813
2023, 0, -0.288675134594813
2024, -99.9, -99.9
