"Description: ","Heatwave definitions and aspects"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, -99.9, -99.9, -99.9
2009, 36.4916666666667, 38.5, 2, 3, 5
2010, -99.9, -99.9, 0, -99.9, 0
2011, 35.6511111111111, 38.4, 3, 5, 11
2012, 32.9, 33.8, 1, 5, 5
2013, -99.9, -99.9, -99.9, -99.9, -99.9
2014, -99.9, -99.9, 0, -99.9, 0
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 33.95, 34.4, 1, 4, 4
2019, 36.2377777777778, 40.3, 3, 5, 11
2020, 36.4666666666667, 38.3, 1, 3, 3
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, 36.04, 38.8, 2, 5, 8
2023, 36.6666666666667, 38.1, 1, 3, 3
2024, -99.9, -99.9, -99.9, -99.9, -99.9
