"Description: ","Value of 95th percentile of TX"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, tx95t, normalised (all years)
NA, 36.895, 1.37839105138882
NA, 36.595, 1.2875018312248
NA, 36.12, 1.14359389929844
NA, 36.14, 1.14965318064271
NA, 35.75, 1.03149719442948
NA, 35.845, 1.06027878081476
NA, 35.98, 1.10117892988856
NA, 36.62, 1.29507593290514
NA, 36.5, 1.25872024483953
NA, 36.74, 1.33143162097075
NA, 36.74, 1.33143162097075
NA, 36.74, 1.33143162097075
NA, 36.58, 1.2829573702166
NA, 36.58, 1.2829573702166
NA, 36.44, 1.24054240080673
NA, 36.66, 1.30719449559367
NA, 36.66, 1.30719449559367
NA, 36.66, 1.30719449559367
NA, 36.66, 1.30719449559367
NA, 37.08, 1.4344394038233
NA, 37.5, 1.56168431205293
NA, 37.5, 1.56168431205293
NA, 37.5, 1.56168431205293
NA, 37.555, 1.57834733574967
NA, 37.5, 1.56168431205293
NA, 37.63, 1.60106964079067
NA, 37.76, 1.64045496952841
NA, 37.755, 1.63894014919235
NA, 37.6, 1.59198071877427
NA, 37.745, 1.63591050852021
NA, 37.59, 1.58895107810214
NA, 37.75, 1.63742532885628
NA, 37.755, 1.63894014919235
NA, 37.92, 1.68892922028256
NA, 38, 1.71316634565963
NA, 38.41, 1.83738161321712
NA, 38.15, 1.75861095574164
NA, 38.345, 1.81768894884825
NA, 37.52, 1.5677435933972
NA, 37.08, 1.4344394038233
NA, 36.52, 1.2647795261838
NA, 36.82, 1.35566874634782
NA, 36.52, 1.2647795261838
NA, 36.3, 1.19812743139685
NA, 36.3, 1.19812743139685
NA, 36.42, 1.23448311946246
NA, 36.46, 1.246601682151
NA, 36.46, 1.246601682151
NA, 36.46, 1.246601682151
NA, 36.06, 1.12541605526564
NA, 35.445, 0.939093153929397
NA, 35.29, 0.89213372351132
NA, 35.035, 0.814877886371903
NA, 35.035, 0.814877886371903
NA, 35.035, 0.814877886371903
NA, 35.2, 0.864866957462115
NA, 34.62, 0.689147798478343
NA, 34.62, 0.689147798478343
NA, 34.6, 0.683088517134076
NA, 34.48, 0.646732829068467
NA, 34.54, 0.664910673101272
NA, 35.18, 0.858807676117846
NA, 35.42, 0.931519052249062
NA, 35.34, 0.907281926871991
NA, 35.24, 0.876985520150651
NA, 35.24, 0.876985520150651
NA, 35.035, 0.814877886371903
NA, 35.05, 0.819422347380104
NA, 35.45, 0.940607974265465
NA, 35.46, 0.943637614937598
NA, 36.02, 1.1132974925771
NA, 36.01, 1.11026785190497
NA, 35.35, 0.910311567544125
NA, 34.635, 0.693692259486544
NA, 34.88, 0.767918455953828
NA, 34.74, 0.725503486543952
NA, 34.8, 0.743681330576755
NA, 34.8, 0.743681330576755
NA, 34.74, 0.725503486543952
