"Description: ","Annual number of days when TX >= 30 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, txge30, normalised (all years)
2008, -99.9, -99.9
2009, 70, -1.30629638918978
2010, 72, -1.14795743292435
2011, 71, -1.22712691105707
2012, 101, 1.14795743292435
2013, -99.9, -99.9
2014, 90, 0.277093173464499
2015, 75, -0.91044899852621
2016, -99.9, -99.9
2017, 94, 0.593771085995354
2018, 87, 0.039584739066357
2019, 95, 0.672940564128068
2020, 108, 1.70214377985335
2021, -99.9, -99.9
2022, 81, -0.435432129729927
2023, 94, 0.593771085995354
2024, -99.9, -99.9
