"Description: ","Monthly number of days when TX >= 30 degrees_C"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, txge30, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 14, 0.958688156189441
2008-03, 12, 0.682322489057907
2008-04, 5, -0.284957345902463
2008-05, 3, -0.561323013033997
2008-06, 0, -0.975871513731299
2008-07, 0, -0.975871513731299
2008-08, 0, -0.975871513731299
2008-09, 1, -0.837688680165531
2008-10, 1, -0.837688680165531
2008-11, 9, 0.267773988360606
2008-12, 11, 0.54413965549214
2009-01, 12, 0.682322489057907
2009-02, 12, 0.682322489057907
2009-03, 11, 0.54413965549214
2009-04, 5, -0.284957345902463
2009-05, 0, -0.975871513731299
2009-06, 0, -0.975871513731299
2009-07, 0, -0.975871513731299
2009-08, 5, -0.284957345902463
2009-09, 0, -0.975871513731299
2009-10, 4, -0.42314017946823
2009-11, 9, 0.267773988360606
2009-12, 12, 0.682322489057907
2010-01, 20, 1.78778515758404
2010-02, 19, 1.64960232401828
2010-03, 10, 0.405956821926373
2010-04, 7, -0.00859167877092856
2010-05, 0, -0.975871513731299
2010-06, 0, -0.975871513731299
2010-07, 1, -0.837688680165531
2010-08, 1, -0.837688680165531
2010-09, 0, -0.975871513731299
2010-10, 0, -0.975871513731299
2010-11, 5, -0.284957345902463
2010-12, 9, 0.267773988360606
2011-01, 24, 2.34051649184711
2011-02, 10, 0.405956821926373
2011-03, 10, 0.405956821926373
2011-04, 2, -0.699505846599764
2011-05, 0, -0.975871513731299
2011-06, 0, -0.975871513731299
2011-07, 0, -0.975871513731299
2011-08, 1, -0.837688680165531
2011-09, 2, -0.699505846599764
2011-10, 2, -0.699505846599764
2011-11, 9, 0.267773988360606
2011-12, 11, 0.54413965549214
2012-01, 15, 1.09687098975521
2012-02, 22, 2.06415082471558
2012-03, 13, 0.820505322623674
2012-04, 3, -0.561323013033997
2012-05, 0, -0.975871513731299
2012-06, 1, -0.837688680165531
2012-07, 1, -0.837688680165531
2012-08, 8, 0.129591154794839
2012-09, 1, -0.837688680165531
2012-10, 4, -0.42314017946823
2012-11, 12, 0.682322489057907
2012-12, 21, 1.92596799114981
2013-01, 13, 0.820505322623674
2013-02, 15, 1.09687098975521
2013-03, -99.9, -99.9
2013-04, 2, -0.699505846599764
2013-05, 1, -0.837688680165531
2013-06, 0, -0.975871513731299
2013-07, 0, -0.975871513731299
2013-08, 1, -0.837688680165531
2013-09, 5, -0.284957345902463
2013-10, 1, -0.837688680165531
2013-11, 9, 0.267773988360606
2013-12, 20, 1.78778515758404
2014-01, 23, 2.20233365828135
2014-02, 19, 1.64960232401828
2014-03, 5, -0.284957345902463
2014-04, 5, -0.284957345902463
2014-05, 0, -0.975871513731299
2014-06, 0, -0.975871513731299
2014-07, 0, -0.975871513731299
2014-08, 3, -0.561323013033997
2014-09, 2, -0.699505846599764
2014-10, 6, -0.146774512336696
2014-11, 12, 0.682322489057907
2014-12, 15, 1.09687098975521
2015-01, 15, 1.09687098975521
2015-02, 15, 1.09687098975521
2015-03, 15, 1.09687098975521
2015-04, 5, -0.284957345902463
2015-05, 0, -0.975871513731299
2015-06, 0, -0.975871513731299
2015-07, 0, -0.975871513731299
2015-08, 8, 0.129591154794839
2015-09, 0, -0.975871513731299
2015-10, 2, -0.699505846599764
2015-11, 3, -0.561323013033997
2015-12, 12, 0.682322489057907
2016-01, 21, 1.92596799114981
2016-02, -99.9, -99.9
2016-03, 6, -0.146774512336696
2016-04, 10, 0.405956821926373
2016-05, 0, -0.975871513731299
2016-06, 0, -0.975871513731299
2016-07, 0, -0.975871513731299
2016-08, 2, -0.699505846599764
2016-09, 1, -0.837688680165531
2016-10, 1, -0.837688680165531
2016-11, 9, 0.267773988360606
2016-12, 19, 1.64960232401828
2017-01, 23, 2.20233365828135
2017-02, 23, 2.20233365828135
2017-03, 8, 0.129591154794839
2017-04, 3, -0.561323013033997
2017-05, 0, -0.975871513731299
2017-06, 0, -0.975871513731299
2017-07, 1, -0.837688680165531
2017-08, 3, -0.561323013033997
2017-09, 8, 0.129591154794839
2017-10, 4, -0.42314017946823
2017-11, 3, -0.561323013033997
2017-12, 18, 1.51141949045251
2018-01, 17, 1.37323665688674
2018-02, 12, 0.682322489057907
2018-03, 12, 0.682322489057907
2018-04, 11, 0.54413965549214
2018-05, 0, -0.975871513731299
2018-06, 0, -0.975871513731299
2018-07, 1, -0.837688680165531
2018-08, 0, -0.975871513731299
2018-09, 2, -0.699505846599764
2018-10, 5, -0.284957345902463
2018-11, 9, 0.267773988360606
2018-12, 18, 1.51141949045251
2019-01, 21, 1.92596799114981
2019-02, 15, 1.09687098975521
2019-03, 10, 0.405956821926373
2019-04, 6, -0.146774512336696
2019-05, 1, -0.837688680165531
2019-06, 1, -0.837688680165531
2019-07, 0, -0.975871513731299
2019-08, 2, -0.699505846599764
2019-09, 3, -0.561323013033997
2019-10, 6, -0.146774512336696
2019-11, 10, 0.405956821926373
2019-12, 20, 1.78778515758404
2020-01, 22, 2.06415082471558
2020-02, 19, 1.64960232401828
2020-03, 21, 1.92596799114981
2020-04, 6, -0.146774512336696
2020-05, 1, -0.837688680165531
2020-06, 3, -0.561323013033997
2020-07, 1, -0.837688680165531
2020-08, 4, -0.42314017946823
2020-09, 0, -0.975871513731299
2020-10, 4, -0.42314017946823
2020-11, 9, 0.267773988360606
2020-12, 18, 1.51141949045251
2021-01, -99.9, -99.9
2021-02, 19, 1.64960232401828
2021-03, 11, 0.54413965549214
2021-04, 7, -0.00859167877092856
2021-05, 2, -0.699505846599764
2021-06, 1, -0.837688680165531
2021-07, 0, -0.975871513731299
2021-08, 2, -0.699505846599764
2021-09, 1, -0.837688680165531
2021-10, 5, -0.284957345902463
2021-11, 11, 0.54413965549214
2021-12, 13, 0.820505322623674
2022-01, 21, 1.92596799114981
2022-02, 19, 1.64960232401828
2022-03, 11, 0.54413965549214
2022-04, 1, -0.837688680165531
2022-05, 0, -0.975871513731299
2022-06, 0, -0.975871513731299
2022-07, 1, -0.837688680165531
2022-08, 2, -0.699505846599764
2022-09, 0, -0.975871513731299
2022-10, 4, -0.42314017946823
2022-11, 6, -0.146774512336696
2022-12, 16, 1.23505382332098
2023-01, 27, 2.75506499254441
2023-02, 16, 1.23505382332098
2023-03, 21, 1.92596799114981
2023-04, 3, -0.561323013033997
2023-05, 0, -0.975871513731299
2023-06, 0, -0.975871513731299
2023-07, 0, -0.975871513731299
2023-08, 4, -0.42314017946823
2023-09, 3, -0.561323013033997
2023-10, 1, -0.837688680165531
2023-11, 4, -0.42314017946823
2023-12, 15, 1.09687098975521
2024-01, 14, 0.958688156189441
2024-02, 21, 1.92596799114981
2024-03, 19, 1.64960232401828
2024-04, 4, -0.42314017946823
2024-05, 3, -0.561323013033997
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
