"Description: ","Annual percentage of days when TX > 50th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, txgt50p, normalised (all years)
2008, -99.9, -99.9
2009, 42.7541208791209, -1.24167093531582
2010, 42.0376712328767, -1.34707923377585
2011, 41.6267123287671, -1.40754193209146
2012, 59.4091530054645, 1.20871564305459
2013, -99.9, -99.9
2014, 53.0308219178082, 0.270297946166784
2015, 48.3732876712329, -0.414945968076817
2016, -99.9, -99.9
2017, 61.8990384615385, 1.57504227977077
2018, 50.2054794520548, -0.145383104753047
2019, 56.1986301369863, 0.7363645790163
2020, 54.6277322404372, 0.505244813380682
2021, -99.9, -99.9
2022, 48.2876712328767, -0.427542363559242
2023, 55.8732876712329, 0.68849827618311
2024, -99.9, -99.9
