"Description: ","Annual coldest daily TX"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, txn, normalised (all years)
2008, -99.9, -99.9
2009, 9.2, -1.33198044686284
2010, 10.7, -0.289560966709313
2011, 10.2, -0.637034126760487
2012, 11.1, -0.0115824386683731
2013, -99.9, -99.9
2014, 12.6, 1.03083704148515
2015, 11.3, 0.127406825352097
2016, -99.9, -99.9
2017, 8.7, -1.67945360691401
2018, 11.2, 0.0579121933418616
2019, 10.7, -0.289560966709313
2020, 11.8, 0.474879985403272
2021, -99.9, -99.9
2022, 11.8, 0.474879985403272
2023, 14.1, 2.07325652163867
2024, -99.9, -99.9
