"Description: ","Monthly coldest daily TX"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, txn, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 22.1, 0.699994359996454
2008-03, 24.3, 1.14984694854571
2008-04, 17.9, -0.158815127233947
2008-05, 12.3, -1.30389444354115
2008-06, 13, -1.16075952900275
2008-07, 14.6, -0.833594010057832
2008-08, 14.8, -0.792698320189718
2008-09, 12.1, -1.34479013340926
2008-10, 18.2, -0.0974715924317753
2008-11, 21.7, 0.618202980260225
2008-12, 22, 0.679546515062396
2009-01, 19, 0.066111167040682
2009-02, 25.1, 1.31342970801817
2009-03, 24.3, 1.14984694854571
2009-04, 21.6, 0.597755135326168
2009-05, 15.4, -0.670011250585375
2009-06, 12, -1.36523797834332
2009-07, 9.2, -1.93777763649692
2009-08, 14, -0.956281079662175
2009-09, 14.1, -0.935833234728118
2009-10, 14.2, -0.915385389794061
2009-11, 21.9, 0.659098670128339
2009-12, 21.3, 0.536411600523996
2010-01, 24.1, 1.1089512586776
2010-02, 24.8, 1.252086173216
2010-03, 24.1, 1.1089512586776
2010-04, 19, 0.066111167040682
2010-05, 16.7, -0.404189266442632
2010-06, 15.2, -0.71090694045349
2010-07, 10.7, -1.63105996248606
2010-08, 10.9, -1.59016427261795
2010-09, 17.5, -0.240606506970175
2010-10, 17.3, -0.281502196838289
2010-11, 20.4, 0.352380996117482
2010-12, 21.4, 0.556859445458053
2011-01, 24.5, 1.19074263841382
2011-02, 24.8, 1.252086173216
2011-03, 21.9, 0.659098670128339
2011-04, 21.5, 0.57730729039211
2011-05, 16.5, -0.445084956310747
2011-06, 10.2, -1.73329918715635
2011-07, 10.2, -1.73329918715635
2011-08, 11.3, -1.50837289288172
2011-09, 15.3, -0.690459095519432
2011-10, 19.5, 0.168350391710968
2011-11, 22.2, 0.72044220493051
2011-12, 22.5, 0.781785739732682
2012-01, 21.1, 0.495515910655882
2012-02, 25.1, 1.31342970801817
2012-03, 20.6, 0.393276685985597
2012-04, 17.4, -0.261054351904233
2012-05, 18.1, -0.117919437365832
2012-06, 12.4, -1.28344659860709
2012-07, 11.1, -1.54926858274983
2012-08, 12.9, -1.1812073739368
2012-09, 15.1, -0.731354785387547
2012-10, 20.3, 0.331933151183425
