"Description: ","Monthly warmest daily TX"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, txx, normalised (all years)
2008-01, -99.9, -99.9
2008-02, 34.1, 0.288261802346415
2008-03, 34, 0.260828603207925
2008-04, 33.2, 0.0413630101000036
2008-05, 30.8, -0.617033769223762
2008-06, 22.3, -2.94885569599543
2008-07, 27.9, -1.41259654423998
2008-08, 28.8, -1.16569775199357
2008-09, 31.8, -0.34270177783886
2008-10, 33.2, 0.0413630101000036
2008-11, 33.6, 0.151095806653964
2008-12, 36.1, 0.83692578511622
2009-01, 33.5, 0.123662607515474
2009-02, 34.2, 0.315695001484906
2009-03, 32.8, -0.0683697864539588
2009-04, 33.4, 0.0962294083769829
2009-05, 29.6, -0.946232158885645
2009-06, 26.3, -1.85152773045582
2009-07, 25.1, -2.18072612011771
2009-08, 33.4, 0.0962294083769829
2009-09, 28.2, -1.33029694682451
2009-10, 34.1, 0.288261802346415
2009-11, 35.5, 0.672326590285278
2009-12, 34.6, 0.425427798038866
2010-01, 34.4, 0.370561399761885
2010-02, 38.5, 1.49532256443999
2010-03, 33.2, 0.0413630101000036
2010-04, 33.2, 0.0413630101000036
2010-05, 25.8, -1.98869372614827
2010-06, 27.1, -1.6320621373479
2010-07, 30, -0.836499362331684
2010-08, 32.9, -0.0409365873154682
2010-09, 27.3, -1.57719573907092
2010-10, 27.9, -1.41259654423998
2010-11, 35.5, 0.672326590285278
2010-12, 35.3, 0.617460192008297
2011-01, 36.2, 0.86435898425471
2011-02, 36.1, 0.83692578511622
2011-03, 33.3, 0.0687962092384923
2011-04, 30.7, -0.644466968362253
2011-05, 27.7, -1.46746294251696
2011-06, 25.9, -1.96126052700978
2011-07, 28.6, -1.22056415027055
2011-08, 32.4, -0.178102583007919
2011-09, 33.7, 0.178529005792455
2011-10, 34, 0.260828603207925
2011-11, 34.9, 0.507727395454336
2011-12, 35.8, 0.754626187700748
2012-01, 36.3, 0.891792183393199
2012-02, 38.4, 1.46788936530149
2012-03, 36.2, 0.86435898425471
2012-04, 33.1, 0.013929810961513
2012-05, 29.7, -0.918798959747155
2012-06, 30, -0.836499362331684
2012-07, 30.6, -0.671900167500743
2012-08, 33, -0.0135033881769776
2012-09, 32.4, -0.178102583007919
2012-10, 33.6, 0.151095806653964
2012-11, 34.8, 0.480294196315846
2012-12, 39, 1.63248856013244
2013-01, 36.5, 0.94665858167018
2013-02, 37.8, 1.30329017047055
2013-03, -99.9, -99.9
2013-04, 31.6, -0.39756817611584
2013-05, 30.8, -0.617033769223762
2013-06, 24.1, -2.45505811150261
2013-07, 28.3, -1.30286374768602
2013-08, 30.1, -0.809066163193194
2013-09, 35.1, 0.562593793731318
2013-10, 32.3, -0.20553578214641
2013-11, 33.7, 0.178529005792455
2013-12, 38.9, 1.60505536099395
2014-01, 38.2, 1.41302296702451
2014-02, 40.6, 2.07141974634828
2014-03, 33.4, 0.0962294083769829
2014-04, 32.4, -0.178102583007919
2014-05, 26.9, -1.68692853562488
2014-06, 29.4, -1.00109855716263
2014-07, 28, -1.38516334510149
2014-08, 34.3, 0.343128200623395
2014-09, 33.9, 0.233395404069434
2014-10, 37.2, 1.13869097563961
2014-11, 34.9, 0.507727395454336
2014-12, 37.4, 1.19355737391659
2015-01, 36.5, 0.94665858167018
2015-02, 34.6, 0.425427798038866
2015-03, 34.9, 0.507727395454336
2015-04, 32.5, -0.150669383869429
2015-05, 29.7, -0.918798959747155
2015-06, 28.9, -1.13826455285508
2015-07, 29.2, -1.05596495543961
2015-08, 34.8, 0.480294196315846
2015-09, 29.5, -0.973665358024136
2015-10, 31, -0.562167370946782
2015-11, 31.8, -0.34270177783886
2015-12, 35.4, 0.644893391146787
2016-01, 38.9, 1.60505536099395
2016-02, -99.9, -99.9
2016-03, 34.8, 0.480294196315846
2016-04, 35.9, 0.782059386839239
2016-05, 24.6, -2.31789211581016
2016-06, 22.2, -2.97628889513392
2016-07, 29.5, -0.973665358024136
2016-08, 32.9, -0.0409365873154682
2016-09, 31.7, -0.370134976977351
2016-10, 32.8, -0.0683697864539588
2016-11, 34.8, 0.480294196315846
2016-12, 38.3, 1.440456166163
2017-01, 34.6, 0.425427798038866
2017-02, 36.3, 0.891792183393199
2017-03, 35.8, 0.754626187700748
2017-04, 32.3, -0.20553578214641
2017-05, 28.4, -1.27543054854753
2017-06, 28.5, -1.24799734940904
2017-07, 30.6, -0.671900167500743
2017-08, 34, 0.260828603207925
2017-09, 34.8, 0.480294196315846
2017-10, 31.7, -0.370134976977351
2017-11, 35.5, 0.672326590285278
2017-12, 35.9, 0.782059386839239
2018-01, 35.7, 0.727192988562259
2018-02, 36.2, 0.86435898425471
2018-03, 36.8, 1.02895817908565
2018-04, 33.7, 0.178529005792455
2018-05, 29.4, -1.00109855716263
2018-06, 28.8, -1.16569775199357
2018-07, 30.4, -0.726766565777724
2018-08, 29.5, -0.973665358024136
2018-09, 32.9, -0.0409365873154682
2018-10, 32.8, -0.0683697864539588
2018-11, 34.4, 0.370561399761885
2018-12, 37.9, 1.33072336960904
2019-01, 38.5, 1.49532256443999
2019-02, 37, 1.08382457736263
2019-03, 35.7, 0.727192988562259
2019-04, 33.5, 0.123662607515474
2019-05, 30.4, -0.726766565777724
2019-06, 30.3, -0.754199764916214
2019-07, 27.9, -1.41259654423998
2019-08, 32.8, -0.0683697864539588
2019-09, 36.1, 0.83692578511622
2019-10, 38.2, 1.41302296702451
2019-11, 33.8, 0.205962204930943
2019-12, 40.3, 1.98912014893281
2020-01, 38.1, 1.38558976788602
2020-02, 37.9, 1.33072336960904
2020-03, 38.4, 1.46788936530149
2020-04, 32.7, -0.0958029855924475
2020-05, 31.4, -0.452434574392822
2020-06, 30.9, -0.589600570085273
2020-07, 30.7, -0.644466968362253
2020-08, 31.3, -0.479867773531311
2020-09, 29.5, -0.973665358024136
2020-10, 33.8, 0.205962204930943
2020-11, 37.8, 1.30329017047055
2020-12, 37.5, 1.22099057305508
2021-01, -99.9, -99.9
2021-02, 34.9, 0.507727395454336
2021-03, 34.5, 0.397994598900376
2021-04, 34.5, 0.397994598900376
2021-05, 32.3, -0.20553578214641
2021-06, 31.5, -0.425001375254331
2021-07, 28.2, -1.33029694682451
2021-08, 34.5, 0.397994598900376
2021-09, 30.1, -0.809066163193194
2021-10, 34.3, 0.343128200623395
2021-11, 36.3, 0.891792183393199
2021-12, 35.3, 0.617460192008297
2022-01, 40.3, 1.98912014893281
2022-02, 37.2, 1.13869097563961
2022-03, 36.5, 0.94665858167018
2022-04, 34, 0.260828603207925
2022-05, 28.7, -1.19313095113206
2022-06, 24.2, -2.42762491236412
2022-07, 30, -0.836499362331684
2022-08, 31.9, -0.315268578700371
2022-09, 28.5, -1.24799734940904
2022-10, 34.3, 0.343128200623395
2022-11, 32.4, -0.178102583007919
2022-12, 37.1, 1.11125777650112
2023-01, 37.9, 1.33072336960904
2023-02, 38.8, 1.57762216185545
2023-03, 35, 0.535160594592827
2023-04, 33.8, 0.205962204930943
2023-05, 29.4, -1.00109855716263
2023-06, 28.7, -1.19313095113206
2023-07, 29.4, -1.00109855716263
2023-08, 32.6, -0.123236184730938
2023-09, 35.8, 0.754626187700748
2023-10, 32.2, -0.232968981284899
2023-11, 34.2, 0.315695001484906
2023-12, 38.1, 1.38558976788602
2024-01, 36.5, 0.94665858167018
2024-02, 36.7, 1.00152497994716
2024-03, 36.7, 1.00152497994716
2024-04, 31.7, -0.370134976977351
2024-05, 33.1, 0.013929810961513
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
