"Description: ","Annual number of days with at least 1 consecutive days when TX > 90th percentile"
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
time, wsdi1, normalised (all years)
2008, -99.9, -99.9
2009, -99.9, -99.9
2010, 13, -1.77815915114672
2011, 20, -1.28422605360596
2012, 55, 1.18543943409781
2013, -99.9, -99.9
2014, 42, 0.268135110093553
2015, 31, -0.508045471756205
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, 41, 0.197573239016302
2019, 50, 0.832630078711558
2020, 50, 0.832630078711558
2021, -99.9, -99.9
2022, 30, -0.578607342833456
2023, 50, 0.832630078711558
2024, -99.9, -99.9
