"Description: ","Outliers shown in *boxes.png. IQR thresholds of 5 and 3 were used for precipitation and temperature variables, respectively."
"Station: ","porto_alegre"
"Latitude: ","-30.05361111"
"Longitude: ","-51.17472221"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-15"
Date,Prec,TX,TN,DTR
"Prec up"
2012-2-22,76.6,28.2,21.9,6.3
2023-2-15,64.8,27.8,20.8,7
2016-3-3,73,24.3,16.9,7.4
2017-3-12,65,23.4,21.1,2.3
2011-4-23,76.4,22.5,18.8,3.7
2016-4-25,72.6,24.8,18.5,6.3
2019-4-27,70.8,23.2,20.9,2.3
2024-4-30,106.2,21,19,2
2008-5-3,144.8,18.3,14.4,3.9
2021-5-29,75.8,21,14.6,6.4
2024-5-2,108.4,20.7,19.3,1.4
2024-5-24,103.6,17.7,16.6,1.1
2010-6-26,78.4,19.5,13.8,5.7
2014-6-14,70,16.2,13,3.2
2017-6-8,90.6,19.2,16.2,3
2020-6-30,82.2,15.8,11.2,4.6
2021-6-27,95.4,16.7,12.3,4.4
2023-6-11,65.4,17.4,10.3,7.1
2023-6-16,140.4,15.6,13.7,1.9
2014-7-4,95.8,24.4,15,9.4
2020-7-8,106.2,15.4,12,3.4
2009-11-8,73.4,22.2,16.1,6.1
2013-11-11,105.4,21,19.8,1.2
2023-11-12,90.8,24.4,20.8,3.6
2020-12-14,63.4,25.1,18.9,6.2
"TX up"
"TX low"
"TN up"
"TN low"
"DTR up"
"DTR low"
