"Description: ","Standardised Precipitation Index"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, spi
2008-01, -99.9
2008-02, -99.9
2008-03, -99.9
2008-04, -99.9
2008-05, -99.9
2008-06, -99.9
2008-07, -99.9
2008-08, -99.9
2008-09, -99.9
2008-10, -99.9
2008-11, -99.9
2008-12, -99.9
2009-01, -99.9
2009-02, -99.9
2009-03, -99.9
2009-04, -99.9
2009-05, -99.9
2009-06, -99.9
2009-07, -99.9
2009-08, -99.9
2009-09, -99.9
2009-10, -99.9
2009-11, -99.9
2009-12, -0.094824406506137
2010-01, 0.467394496484006
2010-02, 0.463246231726354
2010-03, 0.383156279836318
2010-04, 0.310010579862754
2010-05, 0.193774319295952
2010-06, 0.191250743622359
2010-07, 0.525328308837938
2010-08, 0.515887505250832
2010-09, 0.682819585016778
2010-10, 0.274813769349743
2010-11, 0.444067200977111
2010-12, 0.702081839911787
2011-01, 0.633385184963526
2011-02, 0.650535735434571
2011-03, 0.585951270580986
2011-04, 0.805257848267944
2011-05, 0.708270674586779
2011-06, 0.825660881369508
2011-07, -99.9
2011-08, -99.9
2011-09, -99.9
2011-10, -99.9
2011-11, -99.9
2011-12, -99.9
2012-01, -99.9
2012-02, -99.9
2012-03, -99.9
2012-04, -99.9
2012-05, -99.9
2012-06, -99.9
2012-07, -99.9
2012-08, -99.9
2012-09, -99.9
2012-10, -99.9
2012-11, -99.9
2012-12, -99.9
2013-01, -99.9
2013-02, -99.9
2013-03, -99.9
2013-04, -99.9
2013-05, -99.9
2013-06, -99.9
2013-07, -1.49512335363366
2013-08, -1.13328625664698
2013-09, -1.24906389472808
2013-10, -1.45399651107993
2013-11, -0.783340193805174
2013-12, -0.725713262053313
2014-01, -0.63697034447476
2014-02, -0.662675875048786
2014-03, -0.402182306530462
2014-04, -0.455495003616186
2014-05, -0.517245277377879
2014-06, 0.0894113313369914
2014-07, 0.730268288204569
2014-08, 0.73092088019986
2014-09, 0.675464859883036
2014-10, 0.392783597220944
2014-11, 0.43582047621034
2014-12, 0.499756622144952
2015-01, 0.48531290419416
2015-02, 0.453990803556639
2015-03, 0.409729303006689
2015-04, 0.268738842858296
2015-05, 0.244410929768214
2015-06, 0.378970043200049
2015-07, 0.702611791413914
2015-08, 0.526295843803994
2015-09, 0.687719944754176
2015-10, 1.19553892078908
2015-11, 1.08545058439284
2015-12, 1.6265384869921
2016-01, 1.47149233808379
2016-02, 1.40659515555403
2016-03, 1.41831016929551
2016-04, 1.43993045325604
2016-05, 1.2266252692462
2016-06, 0.755789680622229
2016-07, 0.546141945451843
2016-08, 0.579511668380766
2016-09, 0.356494804285928
2016-10, 0.725675659251898
2016-11, 1.04275797379224
2016-12, 0.755329916317907
2017-01, 0.733864684132748
2017-02, 0.963106738497003
2017-03, 1.15744432333383
2017-04, 1.10314366369834
2017-05, 1.39512298987209
2017-06, 1.48150029897775
2017-07, 1.16813759269565
2017-08, 1.35795565423667
2017-09, 1.30670808334213
2017-10, 0.883256193835569
2017-11, 0.797483685371008
2017-12, 0.316747188382419
2018-01, 0.267948558737573
2018-02, 0.275134972575421
2018-03, 0.247116009256779
2018-04, 0.232976561090243
2018-05, 0.110368504103342
2018-06, 0.263387087782542
2018-07, 0.483581227423245
2018-08, 0.428502045454011
2018-09, 0.658635154204973
2018-10, 0.0463322442832483
2018-11, 0.231285709785854
2018-12, 0.236277047610255
2019-01, 0.172848971280274
2019-02, -0.124325186031485
2019-03, -0.247006591133377
2019-04, -0.155334292788525
2019-05, -0.454741187672945
2019-06, -0.7041401455662
2019-07, -0.232164979879473
2019-08, -0.530679913616977
2019-09, -0.748121257259465
2019-10, -0.455611443321783
2019-11, -0.197093752028429
2019-12, -0.295851682384068
2020-01, -0.107970615878594
2020-02, -0.219620703781203
2020-03, -0.396124605256229
2020-04, -0.711175751098449
2020-05, -0.587809900830967
2020-06, -0.438196810346576
2020-07, -0.320448447699992
2020-08, -0.386225153429149
2020-09, -0.674384951305535
2020-10, -99.9
2020-11, -99.9
2020-12, -99.9
2021-01, -99.9
2021-02, -99.9
2021-03, -99.9
2021-04, -99.9
2021-05, -99.9
2021-06, -99.9
2021-07, -99.9
2021-08, -99.9
2021-09, -99.9
2021-10, -99.9
2021-11, -99.9
2021-12, -99.9
2022-01, -99.9
2022-02, -99.9
2022-03, -99.9
2022-04, -99.9
2022-05, -99.9
2022-06, -99.9
2022-07, -99.9
2022-08, -99.9
2022-09, -99.9
2022-10, -99.9
2022-11, -1.94052489390174
2022-12, -2.15802828308531
2023-01, -2.4563035506115
2023-02, -2.32422176946936
2023-03, -2.25260013189947
2023-04, -2.1660315028852
2023-05, -2.47120487577305
2023-06, -2.76877906489391
2023-07, -2.10355083116972
2023-08, -2.05171802599699
2023-09, -1.64294517452365
2023-10, -1.54063708838973
2023-11, -1.05497240852648
2023-12, -0.816141198801806
2024-01, -1.03254238801879
2024-02, -0.84983916211613
2024-03, -0.862528224209823
2024-04, -0.617207085274932
2024-05, 0.157622349546682
2024-06, -0.113364356808327
2024-07, -99.9
2024-08, -99.9
2024-09, -99.9
2024-10, -99.9
2024-11, -99.9
2024-12, -99.9
