"Description: ","Maximum annual number of consecutive dry days (when precipitation < 1.0 mm)"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, cdd, normalised (all years)
2008, 17, -0.442325868464691
2009, 19, 0
2010, 26, 1.54814053962642
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 16, -0.663488802697037
2014, -99.9, -99.9
2015, 15, -0.884651736929383
2016, 26, 1.54814053962642
2017, 23, 0.884651736929383
2018, -99.9, -99.9
2019, 17, -0.442325868464691
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 13, -1.32697760539407
2023, 18, -0.221162934232346
2024, -99.9, -99.9
