"Description: ","Annual number of days with at least 1 consecutive days when TN < 10th percentile"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, csdi1, normalised (all years)
2008, -99.9, -99.9
2009, -99.9, -99.9
2010, -99.9, -99.9
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, -99.9, -99.9
2014, -99.9, -99.9
2015, 21, -1.10816197541709
2016, 44, 0.958410357117486
2017, 28, -0.479205178558744
2018, 28, -0.479205178558744
2019, -99.9, -99.9
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 50, 1.49751618299607
2023, 29, -0.389354207578979
2024, -99.9, -99.9
