"Description: ","Maximum annual number of consecutive wet days (when precipitation >= 1.0 mm)"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, cwd, normalised (all years)
2008, 7, 0.612372435695794
2009, 4, -1.22474487139159
2010, 6, 0
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 5, -0.612372435695794
2014, -99.9, -99.9
2015, 9, 1.83711730708738
2016, 6, 0
2017, 5, -0.612372435695794
2018, -99.9, -99.9
2019, 8, 1.22474487139159
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 4, -1.22474487139159
2023, 6, 0
2024, -99.9, -99.9
