"Description: ","Heatwave definitions and aspects"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, CWM, CWA, CWN, CWD, CWF
2008, -11.0252430555556, -25.735, 4, 3, 12
2009, -7.64747598379629, -32.7693888888889, 4, 8, 18
2010, -14.4643814814815, -34.25525, 3, 5, 15
2011, -99.9, -99.9, -99.9, -99.9, -99.9
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, -13.5656828703704, -32.56375, 3, 6, 13
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, -99.9, -99.9, 0, -99.9, 0
2016, -7.51070864197531, -20.406, 3, 10, 20
2017, -26.2999259259259, -42.4742222222222, 1, 3, 3
2018, -27.0174222222222, -36.2453333333333, 1, 5, 5
2019, -34.3086527777778, -56.16875, 1, 6, 6
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, -13.3210486111111, -20.9298333333333, 1, 4, 4
2023, -18.6226787037037, -41.1355555555556, 2, 5, 8
2024, -99.9, -99.9, -99.9, -99.9, -99.9
