"Description: ","Heatwave definitions and aspects"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, 2.32295694444445, 3.70455555555557, 1, 4, 4
2009, 11.1690802469136, 37.9722777777777, 3, 6, 13
2010, -99.9, -99.9, 0, -99.9, 0
2011, -99.9, -99.9, -99.9, -99.9, -99.9
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 4.89408624926514, 12.1091333333333, 3, 9, 21
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, 1.56932222222223, 3.01595555555555, 1, 3, 3
2016, -99.9, -99.9, 0, -99.9, 0
2017, -99.9, -99.9, 0, -99.9, 0
2018, 5.68831111111111, 20.615, 3, 5, 13
2019, 5.02587845679013, 15.2642111111111, 3, 6, 15
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, 2.1960398989899, 4.43962777777777, 1, 11, 11
2023, 2.45212407407408, 5.49581666666667, 1, 3, 3
2024, -99.9, -99.9, -99.9, -99.9, -99.9
