"Description: ","Annual number of days when TN < 0 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, fd, normalised (all years)
2008, 1, -0.21964884255349
2009, 3, 1.53754189787443
2010, 0, -1.09824421276745
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 1, -0.21964884255349
2014, -99.9, -99.9
2015, 0, -1.09824421276745
2016, 1, -0.21964884255349
2017, 2, 0.658946527660469
2018, 3, 1.53754189787443
2019, 2, 0.658946527660469
2020, -99.9, -99.9
2021, 2, 0.658946527660469
2022, 0, -1.09824421276745
2023, 0, -1.09824421276745
2024, -99.9, -99.9
