"Description: ","Annual sum of daily precipitation >= 1.0 mm"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, prcptot, normalised (all years)
2008, 1463.4, -1.26174517297334
2009, 2122.6, 0.969443243851667
2010, 1883.2, 0.15914817863943
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 1695.4, -0.476496822391725
2014, -99.9, -99.9
2015, 2328.8, 1.66736656234274
2016, 1702, -0.454157860694144
2017, 2091.2, 0.863163941229845
2018, -99.9, -99.9
2019, 1832.6, -0.0121171943753548
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 1371.8, -1.57178288380643
2023, 1870.8, 0.117178008177308
2024, -99.9, -99.9
