"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, prcptot, normalised (all years)
2008-01, 95, -0.567185750678925
2008-02, 130.2, -0.202581136793361
2008-03, 107.8, -0.434602254720538
2008-04, 128.6, -0.21915407378816
2008-05, 136.4, -0.138361005938518
2008-06, 155.8, 0.062585855123412
2008-07, 155.8, 0.062585855123412
2008-08, 105.2, -0.461533277337085
2008-09, 122.8, -0.279230970394304
2008-10, 250, 1.03831752069216
2008-11, 42.8, -1.10787782013422
2008-12, 33, -1.20938705922736
2009-01, 118.4, -0.324806547129999
2009-02, 164.2, 0.149593774346103
2009-03, 128.4, -0.221225690912509
2009-04, 26.2, -1.27982204145525
2009-05, 96, -0.556827665057176
2009-06, 75.8, -0.766060994616504
2009-07, 100.4, -0.51125208832148
2009-08, 177.2, 0.284248887428839
2009-09, 363.2, 2.21085281307414
2009-10, 108.6, -0.426315786223139
2009-11, 453.8, 3.1492953704046
2009-12, 310.4, 1.6639458922458
2010-01, 431.4, 2.91727425247742
2010-02, 134, -0.163220411430715
2010-03, 25.8, -1.28396527570395
2010-04, 112.4, -0.386955060860493
2010-05, 126, -0.246085096404707
2010-06, 142.2, -0.078284109332374
2010-07, 263.4, 1.1771158680236
2010-08, 114, -0.370382123865694
2010-09, 234.8, 0.880874619241579
2010-10, 54.2, -0.989795644046282
2010-11, 78, -0.743273206248657
2010-12, 167, 0.178596414087
2011-01, 130.4, -0.200509519669011
2011-02, 182.8, 0.342254166910634
2011-03, 58, -0.950434918683636
2011-04, 179.4, 0.307036675796687
2011-05, 75.2, -0.772275845989554
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 67, -0.857212148087895
2011-10, 199.8, 0.518341622480366
2011-11, 45.8, -1.07680356326897
2011-12, 13, -1.41654877166234
2012-01, 70, -0.826137891222648
2012-02, 145.2, -0.0472098524671271
2012-03, 154.2, 0.0460129181286134
2012-04, 118, -0.328949781378699
2012-05, 145.8, -0.0409950010940775
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 79, -0.732915120626908
2012-09, 191.6, 0.433405320382024
2012-10, 278.2, 1.33041553522548
2012-11, 78.6, -0.737058354875607
2012-12, 313, 1.69087691486235
2013-01, 151.2, 0.0149386612633666
2013-02, 100.8, -0.507108854072781
2013-03, 202.4, 0.545272645096913
2013-04, 183.4, 0.348469018283683
2013-05, 79.4, -0.728771886378208
2013-06, 88.4, -0.635549115782468
2013-07, 123.2, -0.275087736145604
2013-08, 175.8, 0.269747567558391
2013-09, 75.4, -0.770204228865204
2013-10, 114.6, -0.364167272492645
2013-11, 304.6, 1.60386899563966
2013-12, 96.2, -0.554756047932826
2014-01, 137.8, -0.123859686068069
2014-02, 122.4, -0.283374204643003
2014-03, 240, 0.934736664474674
2014-04, 113.4, -0.376596975238744
2014-05, 186.6, 0.38161489227328
2014-06, 305, 1.60801222988836
2014-07, 277.8, 1.32627230097678
2014-08, 100, -0.51539532257018
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 342.8, 1.99954786639047
2015-01, 189, 0.406474297765477
2015-02, 89.8, -0.621047795912019
2015-03, 142, -0.0803557264567237
2015-04, 128.8, -0.21708245666381
2015-05, 119.8, -0.310305227259551
2015-06, 144.4, -0.0554963209645261
2015-07, 233, 0.862230065122431
2015-08, 92.2, -0.596188390419822
2015-09, 184.4, 0.358827103905432
2015-10, 457.6, 3.18865609576725
2015-11, 182.2, 0.336039315537584
2015-12, 365.6, 2.23571221856634
2016-01, 114.8, -0.362095655368295
2016-02, 106.2, -0.451175191715336
2016-03, 225, 0.77936538014844
2016-04, 152.6, 0.0294399811338152
2016-05, 75.2, -0.772275845989554
2016-06, 5.8, -1.49112698813893
2016-07, 105.6, -0.457390043088386
2016-08, 135.6, -0.146647474435917
2016-09, 58.8, -0.942148450186237
2016-10, 399.8, 2.58995874683016
2016-11, 175, 0.261461099060992
2016-12, 147.6, -0.0223504469749296
2017-01, 228.6, 0.816654488386736
2017-02, 233.8, 0.870516533619831
2017-03, 230.4, 0.835299042505884
2017-04, 122.4, -0.283374204643003
2017-05, 314.2, 1.70330661760845
2017-06, 140.4, -0.0969286634515219
2017-07, 15.6, -1.38961774904579
2017-08, 259.6, 1.13775514266095
2017-09, 139.4, -0.107286749073271
2017-10, 248, 1.01760134944867
2017-11, 72.2, -0.803350102854801
2017-12, 86.6, -0.654193669901616
2018-01, 130.8, -0.196366285420312
2018-02, 113.2, -0.378668592363094
2018-03, 171.6, 0.226243607947045
2018-04, 170, 0.209670670952247
2018-05, 63.8, -0.890358022077492
2018-06, -99.9, -99.9
2018-07, 151.8, 0.0211535126364162
2018-08, 114.6, -0.364167272492645
2018-09, 210.4, 0.628137330070905
2018-10, 88.6, -0.633477498658118
2018-11, 216, 0.686142609552699
2018-12, 159, 0.0957317291130085
2019-01, 236.2, 0.895375939112028
2019-02, 74.6, -0.778490697362603
2019-03, 121.6, -0.291660673140402
2019-04, 196, 0.47898089711772
2019-05, 229.8, 0.829084191132835
2019-06, 29.2, -1.24874778459001
2019-07, 156.8, 0.072943940745161
2019-08, 78.6, -0.737058354875607
2019-09, 79, -0.732915120626908
2019-10, 419.2, 2.79090560789209
2019-11, 144, -0.0596395552132258
2019-12, 67.6, -0.850997296714846
2020-01, 261, 1.1522564625314
2020-02, 51.4, -1.01879828378718
2020-03, 35, -1.18867088798386
2020-04, 31.4, -1.22595999622216
2020-05, 204.4, 0.565988816340411
2020-06, 152.8, 0.0315115982581652
2020-07, 123.8, -0.268872884772555
2020-08, 55, -0.981509175548883
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 81.4, -0.70805571513471
2021-03, 102.8, -0.486392682829283
2021-04, 13, -1.41654877166234
2021-05, 175.2, 0.263532716185342
2021-06, 166.8, 0.17652479696265
2021-07, 30.8, -1.23217484759521
2021-08, 117.2, -0.337236249876098
2021-09, 190.2, 0.418904000511576
2021-10, 148.6, -0.0119923613531806
2021-11, 44.6, -1.08923326601507
2021-12, 27.2, -1.2694639558335
2022-01, 135.6, -0.146647474435917
2022-02, 77, -0.753631291870406
2022-03, 200.4, 0.524556473853415
2022-04, 229.2, 0.822869339759785
2022-05, 112, -0.391098295109192
2022-06, 144, -0.0596395552132258
2022-07, 179, 0.302893441547988
2022-08, 67, -0.857212148087895
2022-09, 63, -0.898644490574891
2022-10, 77.4, -0.749488057621706
2022-11, 35.2, -1.18659927085951
2022-12, 52, -1.01258343241413
2023-01, 67.4, -0.853068913839196
2023-02, 109.2, -0.420100934850089
2023-03, 71.4, -0.8116365713522
2023-04, 71.8, -0.8074933371035
2023-05, 155.8, 0.062585855123412
2023-06, 98.2, -0.534039876689328
2023-07, 172.6, 0.236601693568794
2023-08, 55.4, -0.977365941300183
2023-09, 454, 3.15136698752895
2023-10, 203, 0.551487496469963
2023-11, 206.8, 0.590848221832609
2023-12, 205.2, 0.57427528483781
2024-01, 57.2, -0.958721387181035
2024-02, -99.9, -99.9
2024-03, -99.9, -99.9
2024-04, -99.9, -99.9
2024-05, 584.2, 4.49998973548066
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
