"Description: ","Annual number of days when precipitation >= 10 mm"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r10mm, normalised (all years)
2008, 45, -1.19474867667518
2009, 55, 0.336980395985308
2010, 47, -0.888402862143084
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 47, -0.888402862143084
2014, -99.9, -99.9
2015, 64, 1.71553656137975
2016, 50, -0.428884140344937
2017, 62, 1.40919074684765
2018, -99.9, -99.9
2019, 57, 0.643326210517407
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 49, -0.582057047610986
2023, 52, -0.122538325812839
2024, -99.9, -99.9
