"Description: ","Monthly number of days when precipitation >= 10 mm"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r10mm, normalised (all years)
2008-01, 4, -0.112240861586727
2008-02, 4, -0.112240861586727
2008-03, 3, -0.542099480429512
2008-04, 6, 0.747476376098843
2008-05, 3, -0.542099480429512
2008-06, 3, -0.542099480429512
2008-07, 6, 0.747476376098843
2008-08, 4, -0.112240861586727
2008-09, 4, -0.112240861586727
2008-10, 6, 0.747476376098843
2008-11, 1, -1.40181671811508
2008-12, 1, -1.40181671811508
2009-01, 3, -0.542099480429512
2009-02, 6, 0.747476376098843
2009-03, 2, -0.971958099272297
2009-04, 1, -1.40181671811508
2009-05, 4, -0.112240861586727
2009-06, 3, -0.542099480429512
2009-07, 3, -0.542099480429512
2009-08, 4, -0.112240861586727
2009-09, 10, 2.46691085146998
2009-10, 3, -0.542099480429512
2009-11, 9, 2.0370522326272
2009-12, 7, 1.17733499494163
2010-01, 8, 1.60719361378441
2010-02, 5, 0.317617757256058
2010-03, 1, -1.40181671811508
2010-04, 3, -0.542099480429512
2010-05, 4, -0.112240861586727
2010-06, 4, -0.112240861586727
2010-07, 6, 0.747476376098843
2010-08, 3, -0.542099480429512
2010-09, 5, 0.317617757256058
2010-10, 2, -0.971958099272297
2010-11, 2, -0.971958099272297
2010-12, 4, -0.112240861586727
2011-01, 5, 0.317617757256058
2011-02, 6, 0.747476376098843
2011-03, 3, -0.542099480429512
2011-04, 4, -0.112240861586727
2011-05, 2, -0.971958099272297
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 2, -0.971958099272297
2011-10, 5, 0.317617757256058
2011-11, 2, -0.971958099272297
2011-12, 0, -1.83167533695787
2012-01, 3, -0.542099480429512
2012-02, 6, 0.747476376098843
2012-03, 3, -0.542099480429512
2012-04, 5, 0.317617757256058
2012-05, 2, -0.971958099272297
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 2, -0.971958099272297
2012-09, 5, 0.317617757256058
2012-10, 7, 1.17733499494163
2012-11, 4, -0.112240861586727
2012-12, 10, 2.46691085146998
2013-01, 3, -0.542099480429512
2013-02, 2, -0.971958099272297
2013-03, 6, 0.747476376098843
2013-04, 3, -0.542099480429512
2013-05, 3, -0.542099480429512
2013-06, 5, 0.317617757256058
2013-07, 3, -0.542099480429512
2013-08, 7, 1.17733499494163
2013-09, 3, -0.542099480429512
2013-10, 3, -0.542099480429512
2013-11, 5, 0.317617757256058
2013-12, 4, -0.112240861586727
2014-01, 5, 0.317617757256058
2014-02, 5, 0.317617757256058
2014-03, 6, 0.747476376098843
2014-04, 3, -0.542099480429512
2014-05, 5, 0.317617757256058
2014-06, 10, 2.46691085146998
2014-07, 6, 0.747476376098843
2014-08, 4, -0.112240861586727
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 8, 1.60719361378441
2015-01, 7, 1.17733499494163
2015-02, 3, -0.542099480429512
2015-03, 3, -0.542099480429512
2015-04, 3, -0.542099480429512
2015-05, 3, -0.542099480429512
2015-06, 4, -0.112240861586727
2015-07, 6, 0.747476376098843
2015-08, 3, -0.542099480429512
2015-09, 7, 1.17733499494163
2015-10, 8, 1.60719361378441
2015-11, 6, 0.747476376098843
2015-12, 11, 2.89676947031277
2016-01, 4, -0.112240861586727
2016-02, 4, -0.112240861586727
2016-03, 5, 0.317617757256058
2016-04, 6, 0.747476376098843
2016-05, 2, -0.971958099272297
2016-06, 0, -1.83167533695787
2016-07, 4, -0.112240861586727
2016-08, 6, 0.747476376098843
2016-09, 3, -0.542099480429512
2016-10, 7, 1.17733499494163
2016-11, 4, -0.112240861586727
2016-12, 5, 0.317617757256058
2017-01, 9, 2.0370522326272
2017-02, 7, 1.17733499494163
2017-03, 3, -0.542099480429512
2017-04, 5, 0.317617757256058
2017-05, 9, 2.0370522326272
2017-06, 3, -0.542099480429512
2017-07, 0, -1.83167533695787
2017-08, 7, 1.17733499494163
2017-09, 6, 0.747476376098843
2017-10, 6, 0.747476376098843
2017-11, 4, -0.112240861586727
2017-12, 3, -0.542099480429512
2018-01, 4, -0.112240861586727
2018-02, 2, -0.971958099272297
2018-03, 4, -0.112240861586727
2018-04, 4, -0.112240861586727
2018-05, 2, -0.971958099272297
2018-06, -99.9, -99.9
2018-07, 6, 0.747476376098843
2018-08, 3, -0.542099480429512
2018-09, 4, -0.112240861586727
2018-10, 4, -0.112240861586727
2018-11, 5, 0.317617757256058
2018-12, 3, -0.542099480429512
2019-01, 9, 2.0370522326272
2019-02, 4, -0.112240861586727
2019-03, 4, -0.112240861586727
2019-04, 4, -0.112240861586727
2019-05, 8, 1.60719361378441
2019-06, 1, -1.40181671811508
2019-07, 5, 0.317617757256058
2019-08, 3, -0.542099480429512
2019-09, 3, -0.542099480429512
2019-10, 11, 2.89676947031277
2019-11, 4, -0.112240861586727
2019-12, 1, -1.40181671811508
2020-01, 5, 0.317617757256058
2020-02, 3, -0.542099480429512
2020-03, 1, -1.40181671811508
2020-04, 1, -1.40181671811508
2020-05, 6, 0.747476376098843
2020-06, 4, -0.112240861586727
2020-07, 4, -0.112240861586727
