"Description: ","Number of days when precipitation >= 30"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r30mm, normalised (all years)
2008, 15, -0.969792860380503
2009, 26, 1.12191723063627
2010, 25, 0.931761767816562
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 19, -0.209171009101677
2014, -99.9, -99.9
2015, 28, 1.50222815627568
2016, 15, -0.969792860380503
2017, 18, -0.399326471921384
2018, -99.9, -99.9
2019, 18, -0.399326471921384
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 13, -1.35010378601992
2023, 24, 0.741606304996855
2024, -99.9, -99.9
