"Description: ","Number of days when precipitation >= 30"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r30mm, normalised (all years)
2008-01, 1, -0.445559679808919
2008-02, 1, -0.445559679808919
2008-03, 1, -0.445559679808919
2008-04, 1, -0.445559679808919
2008-05, 1, -0.445559679808919
2008-06, 2, 0.239916750666341
2008-07, 2, 0.239916750666341
2008-08, 1, -0.445559679808919
2008-09, 2, 0.239916750666341
2008-10, 3, 0.925393181141602
2008-11, 0, -1.13103611028418
2008-12, 0, -1.13103611028418
2009-01, 2, 0.239916750666341
2009-02, 3, 0.925393181141602
2009-03, 1, -0.445559679808919
2009-04, 0, -1.13103611028418
2009-05, 0, -1.13103611028418
2009-06, 1, -0.445559679808919
2009-07, 1, -0.445559679808919
2009-08, 2, 0.239916750666341
2009-09, 5, 2.29634604209212
2009-10, 1, -0.445559679808919
2009-11, 6, 2.98182247256738
2009-12, 4, 1.61086961161686
2010-01, 7, 3.66729890304264
2010-02, 1, -0.445559679808919
2010-03, 0, -1.13103611028418
2010-04, 1, -0.445559679808919
2010-05, 2, 0.239916750666341
2010-06, 2, 0.239916750666341
2010-07, 4, 1.61086961161686
2010-08, 1, -0.445559679808919
2010-09, 4, 1.61086961161686
2010-10, 0, -1.13103611028418
2010-11, 1, -0.445559679808919
2010-12, 2, 0.239916750666341
2011-01, 2, 0.239916750666341
2011-02, 3, 0.925393181141602
2011-03, 0, -1.13103611028418
2011-04, 3, 0.925393181141602
2011-05, 1, -0.445559679808919
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 1, -0.445559679808919
2011-10, 3, 0.925393181141602
2011-11, 0, -1.13103611028418
2011-12, 0, -1.13103611028418
2012-01, 0, -1.13103611028418
2012-02, 2, 0.239916750666341
2012-03, 1, -0.445559679808919
2012-04, 1, -0.445559679808919
2012-05, 1, -0.445559679808919
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 0, -1.13103611028418
2012-09, 3, 0.925393181141602
2012-10, 3, 0.925393181141602
2012-11, 1, -0.445559679808919
2012-12, 4, 1.61086961161686
2013-01, 3, 0.925393181141602
2013-02, 2, 0.239916750666341
2013-03, 3, 0.925393181141602
2013-04, 2, 0.239916750666341
2013-05, 1, -0.445559679808919
2013-06, 0, -1.13103611028418
2013-07, 1, -0.445559679808919
2013-08, 1, -0.445559679808919
2013-09, 0, -1.13103611028418
2013-10, 1, -0.445559679808919
2013-11, 4, 1.61086961161686
2013-12, 1, -0.445559679808919
2014-01, 1, -0.445559679808919
2014-02, 1, -0.445559679808919
2014-03, 3, 0.925393181141602
2014-04, 2, 0.239916750666341
2014-05, 4, 1.61086961161686
2014-06, 2, 0.239916750666341
2014-07, 4, 1.61086961161686
2014-08, 1, -0.445559679808919
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 4, 1.61086961161686
2015-01, 1, -0.445559679808919
2015-02, 2, 0.239916750666341
2015-03, 1, -0.445559679808919
2015-04, 2, 0.239916750666341
2015-05, 2, 0.239916750666341
2015-06, 2, 0.239916750666341
2015-07, 3, 0.925393181141602
2015-08, 1, -0.445559679808919
2015-09, 2, 0.239916750666341
2015-10, 4, 1.61086961161686
2015-11, 2, 0.239916750666341
2015-12, 6, 2.98182247256738
2016-01, 1, -0.445559679808919
2016-02, 0, -1.13103611028418
2016-03, 2, 0.239916750666341
2016-04, 0, -1.13103611028418
2016-05, 1, -0.445559679808919
2016-06, 0, -1.13103611028418
2016-07, 0, -1.13103611028418
2016-08, 1, -0.445559679808919
2016-09, 0, -1.13103611028418
2016-10, 6, 2.98182247256738
2016-11, 2, 0.239916750666341
2016-12, 2, 0.239916750666341
2017-01, 2, 0.239916750666341
2017-02, 1, -0.445559679808919
2017-03, 3, 0.925393181141602
2017-04, 0, -1.13103611028418
2017-05, 4, 1.61086961161686
2017-06, 1, -0.445559679808919
2017-07, 0, -1.13103611028418
2017-08, 2, 0.239916750666341
2017-09, 1, -0.445559679808919
2017-10, 3, 0.925393181141602
