"Description: ","Maximum 3-day precipitation total"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx3day, normalised (all years)
2008, 124, -0.918159480771511
2009, 150.6, -0.393834830953517
2010, 165, -0.109989907743775
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 203.8, 0.654814468682473
2014, -99.9, -99.9
2015, 266, 1.88086684532455
2016, 236.4, 1.29740783650453
2017, 178.4, 0.15414356246529
2018, -99.9, -99.9
2019, 124.2, -0.914217190171376
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 116.4, -1.06796652357665
2023, 141, -0.583064779760011
2024, -99.9, -99.9
