"Description: ","Maximum 3-day precipitation total"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx3day, normalised (all years)
2008-01, 56.8, -0.349743008275711
2008-02, 80.6, 0.119884326056393
2008-03, 124, 0.976263582779641
2008-04, 48.2, -0.519440280345294
2008-05, 101.4, 0.530314937573526
2008-06, 80.8, 0.123830774244058
2008-07, 88.8, 0.281688701750648
2008-08, 36, -0.760173619792843
2008-09, 70, -0.0892774278898378
2008-10, 102, 0.54215428213652
2008-11, 36.6, -0.748334275229849
2008-12, 18.6, -1.10351461211968
2009-01, 48.6, -0.511547383969965
2009-02, 72, -0.0498129460131904
2009-03, 81.8, 0.143563015182382
2009-04, 16.6, -1.14297909399632
2009-05, 45.2, -0.578637003160265
2009-06, 52.2, -0.440511316591999
2009-07, 59.6, -0.294492733648404
2009-08, 135.2, 1.19726468128887
2009-09, 150.6, 1.50114119173905
2009-10, 38.6, -0.708869793353202
2009-11, 109.2, 0.684226416892451
2009-12, 77, 0.048848258678428
2010-01, 165, 1.78528546125091
2010-02, 56.6, -0.353689456463375
2010-03, 26, -0.95749602917608
2010-04, 93.8, 0.380349906442266
2010-05, 72.2, -0.0458664978255256
2010-06, 60.2, -0.28265338908541
2010-07, 95.8, 0.419814388318913
2010-08, 84, 0.186973945246694
2010-09, 134, 1.17358599216288
2010-10, 35.2, -0.775959412543502
2010-11, 53, -0.42472552384134
2010-12, 89.4, 0.293528046313642
2011-01, 47.6, -0.531279624908288
2011-02, 81.4, 0.135670118807052
2011-03, 46, -0.562851210409606
2011-04, 112.2, 0.743423139707422
2011-05, 42.2, -0.637833725975236
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 56.8, -0.349743008275711
2011-10, 99, 0.482957559321549
2011-11, 26.6, -0.945656684613086
2011-12, 3.99999999999998, -1.3916053298192
2012-01, 33, -0.819370342607814
2012-02, 121.2, 0.921013308152335
2012-03, 127.4, 1.04335320196994
2012-04, 45.2, -0.578637003160265
2012-05, 131, 1.11438926934791
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 26.2, -0.953549580988415
2012-09, 117.8, 0.853923688962035
2012-10, 102, 0.54215428213652
2012-11, 53, -0.42472552384134
2012-12, 89.4, 0.293528046313642
2013-01, 95.4, 0.411921491943584
2013-02, 45.2, -0.578637003160265
2013-03, 72, -0.0498129460131904
2013-04, 83.2, 0.171188152496035
2013-05, 39.4, -0.693084000602543
2013-06, 40.6, -0.669405311476554
2013-07, 63.8, -0.211617321707445
2013-08, 92.6, 0.356671217316277
2013-09, 25, -0.977228270114404
2013-10, 58.8, -0.310278526399063
2013-11, 203.8, 2.55089640965787
2013-12, 35, -0.779905860731167
2014-01, 57.4, -0.337903663712716
2014-02, 61, -0.266867596334751
2014-03, 133.2, 1.15780019941222
2014-04, 42.6, -0.629940829599907
2014-05, 63, -0.227403114458104
2014-06, 176.8, 2.01812590432313
2014-07, 148, 1.44983736529941
2014-08, 39.4, -0.693084000602543
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 113, 0.759208932458081
2015-01, 53, -0.42472552384134
2015-02, 33.6, -0.80753099804482
2015-03, 80.8, 0.123830774244058
2015-04, 63.4, -0.219510218082774
2015-05, 95, 0.404028595568254
2015-06, 48.6, -0.511547383969965
2015-07, 130, 1.09465702840958
2015-08, 41.6, -0.649673070538231
2015-09, 107.2, 0.644761935015803
2015-10, 266, 3.77824179602161
2015-11, 58.6, -0.314224974586728
2015-12, 124.4, 0.984156479154971
2016-01, 74.4, -0.00245556776121344
2016-02, 38.6, -0.708869793353202
2016-03, 110, 0.70001220964311
2016-04, 51.2, -0.460243557530323
2016-05, 37.4, -0.73254848247919
2016-06, 6.19999999999999, -1.34819439975489
2016-07, 32, -0.839102583546138
2016-08, 66.6, -0.156367047080138
2016-09, 36, -0.760173619792843
2016-10, 236.4, 3.19416746424722
2016-11, 65.4, -0.180045736206127
2016-12, 91.8, 0.340885424565619
2017-01, 79.6, 0.10015208511807
2017-02, 103.8, 0.577672315825503
2017-03, 178.4, 2.04969748982445
2017-04, 51.4, -0.456297109342658
2017-05, 116.2, 0.822352103460717
2017-06, 83.4, 0.1751346006837
2017-07, 9.2, -1.28899767693992
2017-08, 161.8, 1.72214229024828
2017-09, 54.2, -0.401046834715352
2017-10, 95.8, 0.419814388318913
2017-11, 37.8, -0.724655586103861
2017-12, 41, -0.661512415101225
2018-01, 45, -0.58258345134793
2018-02, 58.6, -0.314224974586728
2018-03, 66.2, -0.164259943455468
2018-04, 116.6, 0.830244999836046
2018-05, 34.2, -0.795691653481826
2018-06, -99.9, -99.9
2018-07, 65, -0.187938632581456
2018-08, 75.6, 0.0212231213647748
2018-09, 90.8, 0.321153183627295
2018-10, 76, 0.0291160177401044
2018-11, 100.2, 0.506636248447538
2018-12, 146, 1.41037288342276
2019-01, 84.6, 0.198813289809688
2019-02, 33.4, -0.811477446232485
2019-03, 66.4, -0.160313495267803
2019-04, 105.2, 0.605297453139156
2019-05, 62.4, -0.239242459021098
2019-06, 23.2, -1.01274630380339
2019-07, 111.4, 0.727637346956763
2019-08, 43.2, -0.618101485036913
2019-09, 50.2, -0.479975798468647
2019-10, 124.2, 0.980210030967306
2019-11, 76.8, 0.0449018104907632
2019-12, 49.2, -0.49970803940697
2020-01, 122.6, 0.948638445465988
2020-02, 36.2, -0.756227171605178
2020-03, 30.6, -0.866727720859791
2020-04, 22.6, -1.02458564836638
2020-05, 102.6, 0.553993626699514
2020-06, 93.4, 0.372457010066937
2020-07, 96.2, 0.427707284694243
2020-08, 30.8, -0.862781272672126
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 52, -0.444457764779664
2021-03, 57.6, -0.333957215525051
2021-04, 6.4, -1.34424795156722
2021-05, 84.4, 0.194866841622023
2021-06, 73.6, -0.0182413605118726
2021-07, 16.8, -1.13903264580866
2021-08, 104.8, 0.597404556763827
2021-09, 122.8, 0.952584893653653
2021-10, 55.6, -0.373421697401699
2021-11, 26.2, -0.953549580988415
2021-12, 17.2, -1.13113974943333
2022-01, 52, -0.444457764779664
2022-02, 57.8, -0.330010767337387
2022-03, 68.4, -0.120849013391156
2022-04, 116.4, 0.826298551648382
2022-05, 40, -0.681244656039548
2022-06, 52, -0.444457764779664
2022-07, 76.4, 0.0370089141154339
2022-08, 43.2, -0.618101485036913
2022-09, 33.6, -0.80753099804482
2022-10, 30.6, -0.866727720859791
2022-11, 22.2, -1.03247854474171
2022-12, 24.6, -0.985121166489733
2023-01, 33.2, -0.81542389442015
2023-02, 46.2, -0.558904762221942
2023-03, 34.6, -0.787798757106496
2023-04, 47.2, -0.539172521283618
2023-05, 90.6, 0.31720673543963
2023-06, 56.6, -0.353689456463375
2023-07, 83.2, 0.171188152496035
2023-08, 31, -0.858834824484462
2023-09, 141, 1.31171167873114
2023-10, 66.8, -0.152420598892474
2023-11, 61.4, -0.258974699959422
2023-12, 47, -0.543118969471283
2024-01, 46.4, -0.554958314034277
2024-02, -99.9, -99.9
2024-03, -99.9, -99.9
2024-04, -99.9, -99.9
2024-05, 447.6, 7.36161675042119
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
