"Description: ","Maximum annual 5-day precipitation total"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx5day, normalised (all years)
2008, 136.8, -0.990771871085226
2009, 162.2, -0.600365331749751
2010, 242.4, 0.632335631033916
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 204, 0.0421147211724097
2014, -99.9, -99.9
2015, 309.4, 1.66214815605269
2016, 302.6, 1.55762986993138
2017, 189.2, -0.185366254503379
2018, -99.9, -99.9
2019, 176.2, -0.38518062502941
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 116.4, -1.30432672944915
2023, 173.4, -0.428217566373478
2024, -99.9, -99.9
