"Description: ","Maximum monthly 5-day precipitation total"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx5day, normalised (all years)
2008-01, 56.8, -0.484145649868619
2008-02, 131.2, 0.826747706993603
2008-03, 136.8, 0.925417099445598
2008-04, 56.4, -0.49119346361519
2008-05, 101.8, 0.308733396620628
2008-06, 84.4, 0.00215349864478582
2008-07, 91.4, 0.12549023920978
2008-08, 48.4, -0.632149738546612
2008-09, 74, -0.181089658766063
2008-10, 121.2, 0.650552363329326
2008-11, 37.6, -0.822440709704031
2008-12, 18.8, -1.15368795579287
2009-01, 50, -0.603958483560328
2009-02, 93.4, 0.160729307942635
2009-03, 115.2, 0.544835157130759
2009-04, 20.6, -1.1219727939333
2009-05, 45.2, -0.688532248519181
2009-06, 52.6, -0.558147694207616
2009-07, 59.6, -0.434810953642622
2009-08, 141, 0.999419143784595
2009-09, 150.8, 1.17209058057559
2009-10, 39.8, -0.783677734097891
2009-11, 162.2, 1.37295327235286
2009-12, 120, 0.629408922089613
2010-01, 242.4, 2.78603992854037
2010-02, 56.6, -0.487669556741905
2010-03, 26, -1.02682730835459
2010-04, 93.8, 0.167777121689206
2010-05, 73.2, -0.195185286259205
2010-06, 65.2, -0.336141561190626
2010-07, 132.6, 0.851415055106602
2010-08, 95.2, 0.192444469802205
2010-09, 138.2, 0.950084447558597
2010-10, 35.4, -0.861203685310173
2010-11, 55.4, -0.508812997981618
2010-12, 89.4, 0.0902511704769244
2011-01, 55.4, -0.508812997981618
2011-02, 81.6, -0.047181197581212
2011-03, 46.8, -0.660340993532897
2011-04, 117, 0.576550318990329
2011-05, 43, -0.727295224125322
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 57, -0.480621742995334
2011-10, 99, 0.25939870039463
2011-11, 26.6, -1.01625558773474
2011-12, 7.4, -1.35455064757015
2012-01, 38.2, -0.811868989084175
