"Description: ","Annual number of days when TX > 25 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, su, normalised (all years)
2008, 192, -0.512041319430692
2009, 199, 0.0512041319430683
2010, 183, -1.23621404262553
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 203, 0.373058675585217
2014, -99.9, -99.9
2015, 197, -0.109723139878006
2016, 180, -1.47760495035714
2017, 212, 1.09723139878005
2018, 213, 1.17769503469059
2019, 210, 0.936304126958978
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 183, -1.23621404262553
2023, 210, 0.936304126958978
2024, -99.9, -99.9
