"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, su, normalised (all years)
2008-01, 29, 1.20167081982203
2008-02, 29, 1.20167081982203
2008-03, 30, 1.30268887488328
2008-04, 18, 0.0904722141482633
2008-05, 7, -1.0207263915255
2008-06, 0, -1.72785277695426
2008-07, 8, -0.919708336464249
2008-08, 5, -1.222762501648
2008-09, 5, -1.222762501648
2008-10, 9, -0.818690281402998
2008-11, 26, 0.898616654638273
2008-12, 26, 0.898616654638273
2009-01, 28, 1.10065276476078
2009-02, 26, 0.898616654638273
2009-03, 30, 1.30268887488328
2009-04, 19, 0.191490269209515
2009-05, 12, -0.515636116219244
2009-06, 2, -1.52581666683176
2009-07, 3, -1.42479861177051
2009-08, 14, -0.313600006096742
2009-09, 4, -1.32378055670925
2009-10, 14, -0.313600006096742
2009-11, 22, 0.494544434393268
2009-12, 25, 0.797598599577022
2010-01, 28, 1.10065276476078
2010-02, 27, 0.999634709699524
2010-03, 28, 1.10065276476078
2010-04, 14, -0.313600006096742
2010-05, 4, -1.32378055670925
2010-06, 2, -1.52581666683176
2010-07, 9, -0.818690281402998
2010-08, 4, -1.32378055670925
2010-09, 3, -1.42479861177051
2010-10, 11, -0.616654171280495
2010-11, 24, 0.696580544515771
2010-12, 29, 1.20167081982203
2011-01, 31, 1.40370692994453
2011-02, 26, 0.898616654638273
2011-03, 25, 0.797598599577022
2011-04, 21, 0.393526379332017
2011-05, 1, -1.62683472189301
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 11, -0.616654171280495
2011-10, 14, -0.313600006096742
2011-11, 26, 0.898616654638273
2011-12, 28, 1.10065276476078
2012-01, 30, 1.30268887488328
2012-02, 29, 1.20167081982203
2012-03, 28, 1.10065276476078
2012-04, 16, -0.111563895974239
2012-05, 14, -0.313600006096742
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 19, 0.191490269209515
2012-09, 10, -0.717672226341746
2012-10, 16, -0.111563895974239
2012-11, 28, 1.10065276476078
2012-12, 27, 0.999634709699524
2013-01, 29, 1.20167081982203
2013-02, 28, 1.10065276476078
2013-03, 20, 0.292508324270766
2013-04, 19, 0.191490269209515
2013-05, 5, -1.222762501648
2013-06, 0, -1.72785277695426
2013-07, 7, -1.0207263915255
