"Description: ","Annual number of days when TM >= 10 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmge10, normalised (all years)
2008, 347, -0.122203647924994
2009, 343, -0.794323711512443
2010, 343, -0.794323711512443
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 343, -0.794323711512443
2014, -99.9, -99.9
2015, 358, 1.72612652694049
2016, 341, -1.13038374330617
2017, 358, 1.72612652694049
2018, 345, -0.458263679718719
2019, 346, -0.290233663821857
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 349, 0.21385638386873
2023, 352, 0.717946431559317
2024, -99.9, -99.9
