"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmge10, normalised (all years)
2008-01, 31, 0.72717769157324
2008-02, 29, -0.0163410717207469
2008-03, 31, 0.72717769157324
2008-04, 30, 0.355418309926246
2008-05, 28, -0.38810045336774
2008-06, 22, -2.6186567432497
2008-07, 27, -0.759859835014734
2008-08, 31, 0.72717769157324
2008-09, 26, -1.13161921666173
2008-10, 31, 0.72717769157324
2008-11, 30, 0.355418309926246
2008-12, 31, 0.72717769157324
2009-01, 31, 0.72717769157324
2009-02, 28, -0.38810045336774
2009-03, 31, 0.72717769157324
2009-04, 30, 0.355418309926246
2009-05, 31, 0.72717769157324
2009-06, 21, -2.99041612489669
2009-07, 19, -3.73393488819068
2009-08, 31, 0.72717769157324
2009-09, 30, 0.355418309926246
2009-10, 30, 0.355418309926246
2009-11, 30, 0.355418309926246
2009-12, 31, 0.72717769157324
2010-01, 31, 0.72717769157324
2010-02, 28, -0.38810045336774
2010-03, 31, 0.72717769157324
2010-04, 30, 0.355418309926246
2010-05, 31, 0.72717769157324
2010-06, 28, -0.38810045336774
2010-07, 22, -2.6186567432497
2010-08, 22, -2.6186567432497
2010-09, 28, -0.38810045336774
2010-10, 31, 0.72717769157324
2010-11, 30, 0.355418309926246
2010-12, 31, 0.72717769157324
2011-01, 31, 0.72717769157324
2011-02, 28, -0.38810045336774
2011-03, 31, 0.72717769157324
2011-04, 30, 0.355418309926246
2011-05, 31, 0.72717769157324
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 29, -0.0163410717207469
2011-10, 31, 0.72717769157324
2011-11, 30, 0.355418309926246
2011-12, 31, 0.72717769157324
2012-01, 31, 0.72717769157324
2012-02, 29, -0.0163410717207469
2012-03, 31, 0.72717769157324
2012-04, 30, 0.355418309926246
2012-05, 31, 0.72717769157324
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 30, 0.355418309926246
2012-09, 29, -0.0163410717207469
2012-10, 31, 0.72717769157324
2012-11, 30, 0.355418309926246
2012-12, 31, 0.72717769157324
2013-01, 31, 0.72717769157324
2013-02, 28, -0.38810045336774
2013-03, 30, 0.355418309926246
2013-04, 30, 0.355418309926246
2013-05, 28, -0.38810045336774
2013-06, 30, 0.355418309926246
2013-07, 22, -2.6186567432497
2013-08, 23, -2.24689736160271
2013-09, 29, -0.0163410717207469
2013-10, 31, 0.72717769157324
2013-11, 30, 0.355418309926246
2013-12, 31, 0.72717769157324
2014-01, 31, 0.72717769157324
2014-02, 28, -0.38810045336774
2014-03, 31, 0.72717769157324
2014-04, 30, 0.355418309926246
2014-05, 29, -0.0163410717207469
2014-06, 26, -1.13161921666173
2014-07, 28, -0.38810045336774
2014-08, 28, -0.38810045336774
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 31, 0.72717769157324
2015-01, 31, 0.72717769157324
2015-02, 28, -0.38810045336774
2015-03, 31, 0.72717769157324
2015-04, 30, 0.355418309926246
2015-05, 31, 0.72717769157324
2015-06, 26, -1.13161921666173
2015-07, 29, -0.0163410717207469
2015-08, 31, 0.72717769157324
