"Description: ","Monthly number of days when TM < 10 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmlt10, normalised (all years)
2008-01, 0, -0.50269480997392
2008-02, 0, -0.50269480997392
2008-03, 0, -0.50269480997392
2008-04, 0, -0.50269480997392
2008-05, 2, 0.259725651819859
2008-06, 7, 2.16577680630431
2008-07, 3, 0.640935882716748
2008-08, 0, -0.50269480997392
2008-09, 4, 1.02214611361364
2008-10, 0, -0.50269480997392
2008-11, 0, -0.50269480997392
2008-12, 0, -0.50269480997392
2009-01, 0, -0.50269480997392
2009-02, 0, -0.50269480997392
2009-03, 0, -0.50269480997392
2009-04, 0, -0.50269480997392
2009-05, 0, -0.50269480997392
2009-06, 9, 2.92819726809809
2009-07, 12, 4.07182796078875
2009-08, 0, -0.50269480997392
2009-09, 0, -0.50269480997392
2009-10, 0, -0.50269480997392
2009-11, 0, -0.50269480997392
2009-12, 0, -0.50269480997392
2010-01, 0, -0.50269480997392
2010-02, 0, -0.50269480997392
2010-03, 0, -0.50269480997392
2010-04, 0, -0.50269480997392
2010-05, 0, -0.50269480997392
2010-06, 2, 0.259725651819859
2010-07, 9, 2.92819726809809
2010-08, 8, 2.5469870372012
2010-09, 0, -0.50269480997392
2010-10, 0, -0.50269480997392
2010-11, 0, -0.50269480997392
2010-12, 0, -0.50269480997392
2011-01, 0, -0.50269480997392
2011-02, 0, -0.50269480997392
2011-03, 0, -0.50269480997392
2011-04, 0, -0.50269480997392
2011-05, 0, -0.50269480997392
2011-06, -99.9, -99.9
2011-07, -99.9, -99.9
2011-08, -99.9, -99.9
2011-09, 1, -0.121484579077031
2011-10, 0, -0.50269480997392
2011-11, 0, -0.50269480997392
2011-12, 0, -0.50269480997392
2012-01, 0, -0.50269480997392
2012-02, 0, -0.50269480997392
2012-03, 0, -0.50269480997392
2012-04, 0, -0.50269480997392
2012-05, 0, -0.50269480997392
2012-06, -99.9, -99.9
2012-07, -99.9, -99.9
2012-08, 1, -0.121484579077031
2012-09, 1, -0.121484579077031
2012-10, 0, -0.50269480997392
2012-11, 0, -0.50269480997392
2012-12, 0, -0.50269480997392
2013-01, 0, -0.50269480997392
2013-02, 0, -0.50269480997392
2013-03, 0, -0.50269480997392
2013-04, 0, -0.50269480997392
2013-05, 3, 0.640935882716748
2013-06, 0, -0.50269480997392
2013-07, 9, 2.92819726809809
2013-08, 8, 2.5469870372012
2013-09, 1, -0.121484579077031
2013-10, 0, -0.50269480997392
2013-11, 0, -0.50269480997392
2013-12, 0, -0.50269480997392
2014-01, 0, -0.50269480997392
2014-02, 0, -0.50269480997392
2014-03, 0, -0.50269480997392
2014-04, 0, -0.50269480997392
2014-05, 2, 0.259725651819859
2014-06, 4, 1.02214611361364
2014-07, 3, 0.640935882716748
2014-08, 3, 0.640935882716748
2014-09, -99.9, -99.9
2014-10, -99.9, -99.9
2014-11, -99.9, -99.9
2014-12, 0, -0.50269480997392
2015-01, 0, -0.50269480997392
2015-02, 0, -0.50269480997392
2015-03, 0, -0.50269480997392
2015-04, 0, -0.50269480997392
2015-05, 0, -0.50269480997392
2015-06, 4, 1.02214611361364
2015-07, 2, 0.259725651819859
2015-08, 0, -0.50269480997392
2015-09, 1, -0.121484579077031
2015-10, 0, -0.50269480997392
2015-11, 0, -0.50269480997392
2015-12, 0, -0.50269480997392
2016-01, 0, -0.50269480997392
2016-02, 0, -0.50269480997392
2016-03, 0, -0.50269480997392
2016-04, 1, -0.121484579077031
2016-05, 3, 0.640935882716748
2016-06, 13, 4.45303819168564
2016-07, 7, 2.16577680630431
2016-08, 1, -0.121484579077031
2016-09, 0, -0.50269480997392
2016-10, 0, -0.50269480997392
2016-11, 0, -0.50269480997392
2016-12, 0, -0.50269480997392
2017-01, 0, -0.50269480997392
2017-02, 0, -0.50269480997392
2017-03, 0, -0.50269480997392
2017-04, 0, -0.50269480997392
2017-05, 0, -0.50269480997392
2017-06, 2, 0.259725651819859
2017-07, 4, 1.02214611361364
2017-08, 1, -0.121484579077031
2017-09, 0, -0.50269480997392
2017-10, 0, -0.50269480997392
2017-11, 0, -0.50269480997392
2017-12, 0, -0.50269480997392
2018-01, 0, -0.50269480997392
2018-02, 0, -0.50269480997392
2018-03, 0, -0.50269480997392
2018-04, 0, -0.50269480997392
2018-05, 1, -0.121484579077031
2018-06, 7, 2.16577680630431
2018-07, 5, 1.40335634451053
2018-08, 6, 1.78456657540742
2018-09, 0, -0.50269480997392
2018-10, 0, -0.50269480997392
2018-11, 0, -0.50269480997392
2018-12, 0, -0.50269480997392
2019-01, 0, -0.50269480997392
2019-02, 0, -0.50269480997392
2019-03, 0, -0.50269480997392
2019-04, 0, -0.50269480997392
2019-05, 0, -0.50269480997392
2019-06, 2, 0.259725651819859
2019-07, 9, 2.92819726809809
2019-08, 5, 1.40335634451053
2019-09, 2, 0.259725651819859
2019-10, 0, -0.50269480997392
2019-11, 0, -0.50269480997392
2019-12, 0, -0.50269480997392
2020-01, 0, -0.50269480997392
2020-02, 0, -0.50269480997392
2020-03, 0, -0.50269480997392
2020-04, 0, -0.50269480997392
2020-05, 0, -0.50269480997392
2020-06, 7, 2.16577680630431
2020-07, 7, 2.16577680630431
2020-08, 4, 1.02214611361364
2020-09, -99.9, -99.9
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 0, -0.50269480997392
2021-03, 0, -0.50269480997392
2021-04, 0, -0.50269480997392
2021-05, 2, 0.259725651819859
2021-06, 7, 2.16577680630431
2021-07, 10, 3.30940749899498
2021-08, 3, 0.640935882716748
2021-09, 0, -0.50269480997392
2021-10, 0, -0.50269480997392
2021-11, 0, -0.50269480997392
2021-12, 0, -0.50269480997392
2022-01, 0, -0.50269480997392
2022-02, 0, -0.50269480997392
2022-03, 0, -0.50269480997392
2022-04, 0, -0.50269480997392
2022-05, 1, -0.121484579077031
2022-06, 7, 2.16577680630431
2022-07, 3, 0.640935882716748
