"Description: ","Heatwave definitions and aspects"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, -99.9, -99.9, 0, -99.9, 0
2009, 23.5809523809524, 29.1, 4, 7, 17
2010, -99.9, -99.9, 0, -99.9, 0
2011, -99.9, -99.9, -99.9, -99.9, -99.9
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 23.9408333333333, 27.6, 4, 5, 15
2014, -99.9, -99.9, -99.9, -99.9, -99.9
2015, 21.7333333333333, 23.6, 2, 4, 7
2016, -99.9, -99.9, 0, -99.9, 0
2017, -99.9, -99.9, 0, -99.9, 0
2018, 23.245, 24.8, 3, 5, 12
2019, -99.9, -99.9, 0, -99.9, 0
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, 24.875, 28.2, 2, 6, 9
2022, -99.9, -99.9, 0, -99.9, 0
2023, 22.15, 23.6, 2, 4, 7
2024, -99.9, -99.9, -99.9, -99.9, -99.9
