"Description: ","Annual number of days when TN < 2 degrees_C"
"Station: ","Santa Maria"
"Latitude: ","-29.72499999"
"Longitude: ","-53.72055554"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnlt2, normalised (all years)
2008, 6, 0
2009, 9, 1.40712472794703
2010, 6, 0
2011, -99.9, -99.9
2012, -99.9, -99.9
2013, 4, -0.938083151964686
2014, -99.9, -99.9
2015, 3, -1.40712472794703
2016, 9, 1.40712472794703
2017, 4, -0.938083151964686
2018, 6, 0
2019, 7, 0.469041575982343
2020, -99.9, -99.9
2021, 9, 1.40712472794703
2022, 5, -0.469041575982343
2023, 4, -0.938083151964686
2024, -99.9, -99.9
